date,time,sport,channel,comp,ht,at
2025-06-15,11:00AM,Am. Football,DAZN Australia,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Austria,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Belgium,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Brasil,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Canada,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Croatia,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Czechia,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Germany,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Greece,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Italy,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN New Zealand,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Poland,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Portugal,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Serbia,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Slovenia,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Spain,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Switzerland,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN Turkey,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,11:00AM,Am. Football,DAZN US,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,10:45AM,Am. Football,ProSieben Maxx,European League of Football,Berlin Thunder,Fehérvár Enthroners
2025-06-15,2:25PM,Am. Football,DAZN Australia,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Austria,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Belgium,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Brasil,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Canada,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Croatia,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Czechia,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Germany,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Greece,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Italy,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN New Zealand,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Poland,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Portugal,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Serbia,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Slovenia,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Spain,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Switzerland,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Turkey,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN US,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:05PM,Am. Football,ProSieben Maxx,European League of Football,Munich Ravens,Helvetic Mercenaries
2025-06-15,2:25PM,Am. Football,DAZN Australia,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Austria,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Belgium,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Brasil,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Canada,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Croatia,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Czechia,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Germany,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Greece,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Italy,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN New Zealand,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Poland,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Portugal,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Serbia,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Slovenia,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Spain,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Switzerland,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN Turkey,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-15,2:25PM,Am. Football,DAZN US,European League of Football,Raiders Tirol,Madrid Bravos
2025-06-20,1:00AM,Am. Football,CBS Sports Network USA,CFL,Edmonton Elks,Montreal Alouettes
2025-06-20,1:00AM,Am. Football,RDS,CFL,Edmonton Elks,Montreal Alouettes
2025-06-20,1:00AM,Am. Football,TSN 1,CFL,Edmonton Elks,Montreal Alouettes
2025-06-20,1:00AM,Am. Football,TSN 4,CFL,Edmonton Elks,Montreal Alouettes
2025-06-20,11:30PM,Am. Football,RDS,CFL,Toronto Argonauts,Saskatchewan Roughriders
2025-06-20,11:30PM,Am. Football,TSN 1,CFL,Toronto Argonauts,Saskatchewan Roughriders
2025-06-20,11:30PM,Am. Football,TSN 3,CFL,Toronto Argonauts,Saskatchewan Roughriders
2025-06-20,11:30PM,Am. Football,TSN 4,CFL,Toronto Argonauts,Saskatchewan Roughriders
2025-06-20,11:30PM,Am. Football,TSN 5,CFL,Toronto Argonauts,Saskatchewan Roughriders
