STG,TSDB
Arizona Cardinals,Arizona Cardinals
Atlanta Falcons,Atlanta Falcons
Baltimore Ravens,Baltimore Ravens
Buffalo Bills,Buffalo Bills
Carolina Panthers,Carolina Panthers
Chicago Bears,Chicago Bears
Cincinnati Bengals,Cincinnati Bengals
Cleveland Browns,Cleveland Browns
Dallas Cowboys,Dallas Cowboys
Denver Broncos,Denver Broncos
Detroit Lions,Detroit Lions
Green Bay Packers,Green Bay Packers
Houston Texans,Houston Texans
Indianapolis Colts,Indianapolis Colts
Jacksonville Jaguars,Jacksonville Jaguars
Kansas City Chiefs,Kansas City Chiefs
Las Vegas Raiders,Las Vegas Raiders
Los Angeles Chargers,Los Angeles Chargers
Los Angeles Rams,Los Angeles Rams
Miami Dolphins,Miami Dolphins
Minnesota Vikings,Minnesota Vikings
New England Patriots,New England Patriots
New Orleans Saints,New Orleans Saints
New York Giants,New York Giants
New York Jets,New York Jets
Philadelphia Eagles,Philadelphia Eagles
Pittsburgh Steelers,Pittsburgh Steelers
San Francisco 49ers,San Francisco 49ers
Seattle Seahawks,Seattle Seahawks
Tampa Bay Buccaneers,Tampa Bay Buccaneers
Tennessee Titans,Tennessee Titans
Washington Commanders,Washington Commanders
BC Lions,BC Lions
Calgary Stampeders,Calgary Stampeders
Edmonton Eskimos,Edmonton Elks
Hamilton Tiger-Cats,Hamilton Tiger-Cats
Montreal Alouettes,Montreal Alouettes
Ottawa Redblacks,Ottawa Redblacks
Saskatchewan Roughriders,Saskatchewan Roughriders
Toronto Argonauts,Toronto Argonauts
Winnipeg Blue Bombers,Winnipeg Blue Bombers
Birmingham Stallions,Birmingham Stallions
Houston Gamblers,Houston Gamblers
Michigan Panthers,Michigan Panthers
New Jersey Generals,New Jersey Generals
New Orleans Breakers,New Orleans Breakers
Philadelphia Stars,Philadelphia Stars
Pittsburgh Maulers,Pittsburgh Maulers
Tampa Bay Bandits,Tampa Bay Bandits
Memphis Showboats,Memphis Showboats
Barcelona Dragons,Barcelona Dragons
Berlin Thunder,Berlin Thunder
Cologne Centurions,Cologne Centurions
Frankfurt Galaxy,Frankfurt Galaxy
Hamburg Sea Devils,Hamburg Sea Devils
Istanbul Koc Rams,Istanbul Rams
Leipzig Kings,Leipzig Kings
Raiders Tirol,Raiders Tirol
Rhein Fire,Rhein Fire
Stuttgart Surge,Stuttgart Surge
Vikings Vienna,Vienna Vikings
Panthers Wroclaw,Wrocław Panthers
Helvetic Mercenaries,Helvetic Mercenaries
Madrid Bravos,Madrid Bravos
Seamen Milano,Milano Seamen
Prague Lions,Prague Lions
Paris Musketeers,Paris Musketeers
Munich Ravens,Munich Ravens
Fehervar Enthroners,Fehérvár Enthroners
Dallas Renegades,Arlington Renegades
DC Defenders,DC Defenders
Houston Roughnecks,Houston Roughnecks
Orlando Guardians,Orlando Guardians
San Antonio Brahmas,San Antonio Brahmas
Seattle Dragons,Seattle Sea Dragons
St. Louis BattleHawks,St Louis BattleHawks
Tampa Bay Vipers,Vegas Vipers
Abilene,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A and M
Alabama A&M,Alabama A&M
Alabama S.,Alabama State
Albany,Albany
Alcorn State,Alcorn State
Appalachian State,Appalachian State
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Arkansas State,Arkansas State
Arkansas-Pine B.,Arkansas-Pine Bluff
Army,Army
Auburn,Auburn
Austin Peay Governors,Austin Peay
Ball State,Ball State
Baylor,Baylor
