date,time,sport,channel,comp,ht,at
2025-06-15,8:05AM,Aussie rules,ESPN South Africa,Australian AFL,West Coast Eagles,Carlton Football Club
2025-06-15,8:10AM,Aussie rules,Fox Footy,Australian AFL,West Coast Eagles,Carlton Football Club
2025-06-15,8:00AM,Aussie rules,Fox Soccer Plus,Australian AFL,West Coast Eagles,Carlton Football Club
2025-06-15,8:10AM,Aussie rules,Kayo Sports,Australian AFL,West Coast Eagles,Carlton Football Club
2025-06-15,8:05AM,Aussie rules,Sky Sport 5 NZ,Australian AFL,West Coast Eagles,Carlton Football Club
2025-06-15,8:05AM,Aussie rules,Sport1+,Australian AFL,West Coast Eagles,Carlton Football Club
2025-06-15,8:00AM,Aussie rules,TNT Sports 1,Australian AFL,West Coast Eagles,Carlton Football Club
2025-06-19,10:05AM,Aussie rules,ESPN South Africa,Australian AFL,Fremantle Football Club,Essendon Football Club
2025-06-19,10:10AM,Aussie rules,Fox Footy,Australian AFL,Fremantle Football Club,Essendon Football Club
2025-06-19,10:08AM,Aussie rules,Fox Sports 2 US,Australian AFL,Fremantle Football Club,Essendon Football Club
2025-06-19,10:10AM,Aussie rules,Kayo Sports,Australian AFL,Fremantle Football Club,Essendon Football Club
2025-06-19,10:00AM,Aussie rules,TNT Sports 2,Australian AFL,Fremantle Football Club,Essendon Football Club
2025-06-20,9:35AM,Aussie rules,ESPN South Africa,Australian AFL,Geelong Football Club,Brisbane Lions
2025-06-20,9:40AM,Aussie rules,Fox Footy,Australian AFL,Geelong Football Club,Brisbane Lions
2025-06-20,9:38AM,Aussie rules,Fox Sports 2 US,Australian AFL,Geelong Football Club,Brisbane Lions
2025-06-20,9:40AM,Aussie rules,Kayo Sports,Australian AFL,Geelong Football Club,Brisbane Lions
2025-06-20,9:35AM,Aussie rules,Sport1+,Australian AFL,Geelong Football Club,Brisbane Lions
2025-06-20,9:30AM,Aussie rules,TNT Sports 3,Australian AFL,Geelong Football Club,Brisbane Lions
2025-06-21,3:20AM,Aussie rules,Fox Footy,Australian AFL,Carlton Football Club,North Melbourne Football Club
2025-06-21,3:20AM,Aussie rules,Kayo Sports,Australian AFL,Carlton Football Club,North Melbourne Football Club
2025-06-21,3:00AM,Aussie rules,TNT Sports 1,Australian AFL,Carlton Football Club,North Melbourne Football Club
2025-06-21,9:35AM,Aussie rules,Fox Footy,Australian AFL,Collingwood Football Club,St Kilda Football Club
2025-06-21,9:35AM,Aussie rules,Kayo Sports,Australian AFL,Collingwood Football Club,St Kilda Football Club
2025-06-21,9:30AM,Aussie rules,Sky Sport Select NZ,Australian AFL,Collingwood Football Club,St Kilda Football Club
2025-06-21,9:35AM,Aussie rules,Sport1+,Australian AFL,Collingwood Football Club,St Kilda Football Club
2025-06-21,6:10AM,Aussie rules,ESPN South Africa,Australian AFL,Port Adelaide Football Club,Sydney Swans
2025-06-21,6:15AM,Aussie rules,Fox Footy,Australian AFL,Port Adelaide Football Club,Sydney Swans
2025-06-21,6:15AM,Aussie rules,Kayo Sports,Australian AFL,Port Adelaide Football Club,Sydney Swans
2025-06-21,6:00AM,Aussie rules,Sky Sport Select NZ,Australian AFL,Port Adelaide Football Club,Sydney Swans
2025-06-21,6:10AM,Aussie rules,Sport1+,Australian AFL,Port Adelaide Football Club,Sydney Swans
2025-06-22,3:10AM,Aussie rules,Fox Footy,Australian AFL,Greater Western Sydney Giants,Gold Coast Football Club
2025-06-22,3:10AM,Aussie rules,Kayo Sports,Australian AFL,Greater Western Sydney Giants,Gold Coast Football Club
2025-06-22,5:15AM,Aussie rules,ESPN South Africa,Australian AFL,Western Bulldogs,Richmond Football Club
2025-06-22,5:20AM,Aussie rules,Kayo Sports,Australian AFL,Western Bulldogs,Richmond Football Club
2025-06-22,5:15AM,Aussie rules,Sky Sport 6 NZ,Australian AFL,Western Bulldogs,Richmond Football Club
2025-06-22,5:00AM,Aussie rules,TNT Sports 4,Australian AFL,Western Bulldogs,Richmond Football Club
