STG,TSDB
Adelaide Crows,Adelaide Football Club
Brisbane Lions,Brisbane Lions
Carlton Blues,Carlton Football Club
Collingwood Magpies,Collingwood Football Club
Essendon Bombers,Essendon Football Club
Fremantle Dockers,Fremantle Football Club
Geelong Cats,Geelong Football Club
Gold Coast Suns,Gold Coast Football Club
Greater Western Sydney,Greater Western Sydney Giants
Hawthorn Hawks,Hawthorn Football Club
Melbourne Demons,Melbourne Football Club
North Melbourne Kangaroos,North Melbourne Football Club
Port Adelaide Power,Port Adelaide Football Club
Richmond Tigers,Richmond Football Club
St Kilda Saints,St Kilda Football Club
Sydney Swans,Sydney Swans
West Coast Eagles,West Coast Eagles
Western Bulldogs,Western Bulldogs
Adelaide Crows W,Adelaide Crows Women
Brisbane Lions W,Brisbane Lions Women
Carlton Blues W,Carlton Blues Women
Collingwood Magpies W,Collingwood Magpies Women
Essendon Bombers W,Essendon Bombers Women
Fremantle Dockers W,Fremantle Dockers Women
Geelong Cats W,Geelong Cats Women
Gold Coast Suns W,Gold Coast Suns Women
Greater Western Sydney W,Greater Western Sydney Giants Women
Hawthorn Hawks W,Hawthorn Hawks Women
Melbourne Demons W,Melbourne Demons Women
North Melbourne Kangaroos W,North Melbourne Kangaroos Women
Port Adelaide Power W,Port Adelaide Power Women
Port Adelaide W,Port Adelaide Power Women
Richmond W,Richmond Tigers Women
St Kilda W,St Kilda Saints Women
Sydney Swans W,Sydney Swans Women
West Coast Eagles W,West Coast Eagles Women
Western Bulldogs W,Western Bulldogs Bulldogs Women
