date,time,sport,channel,comp,ht,at
2025-06-15,8:20PM,Baseball,ESPN 4 Netherlands,MLB,Arizona Diamondbacks,San Diego Padres
2025-06-15,8:10PM,Baseball,MLB.TV,MLB,Arizona Diamondbacks,San Diego Padres
2025-06-15,5:35PM,Baseball,MLB.TV,MLB,Atlanta Braves,Colorado Rockies
2025-06-15,5:30PM,Baseball,MASN,MLB,Baltimore Orioles,Los Angeles Angels
2025-06-15,5:35PM,Baseball,MLB.TV,MLB,Baltimore Orioles,Los Angeles Angels
2025-06-15,5:35PM,Baseball,ESPN 1 Netherlands,MLB,Boston Red Sox,New York Yankees
2025-06-15,5:30PM,Baseball,ESPN 4 Netherlands,MLB,Boston Red Sox,New York Yankees
2025-06-15,5:35PM,Baseball,MLB.TV,MLB,Boston Red Sox,New York Yankees
2025-06-15,5:30PM,Baseball,NESN,MLB,Boston Red Sox,New York Yankees
2025-06-15,5:30PM,Baseball,SportsNet One,MLB,Boston Red Sox,New York Yankees
2025-06-15,5:30PM,Baseball,TNT Sports 2,MLB,Boston Red Sox,New York Yankees
2025-06-15,5:30PM,Baseball,YES,MLB,Boston Red Sox,New York Yankees
2025-06-15,6:00PM,Baseball,Marquee Sports Network,MLB,Chicago Cubs,Pittsburgh Pirates
2025-06-15,6:20PM,Baseball,MLB.TV,MLB,Chicago Cubs,Pittsburgh Pirates
2025-06-15,4:05PM,Baseball,MLB.TV,MLB,Detroit Tigers,Cincinnati Reds
2025-06-15,3:30PM,Baseball,O2 TV Fotbal,MLB,Detroit Tigers,Cincinnati Reds
2025-06-15,6:10PM,Baseball,MLB.TV,MLB,Houston Astros,Minnesota Twins
2025-06-15,6:10PM,Baseball,MLB.TV,MLB,Kansas City Royals,Athletics
2025-06-15,6:00PM,Baseball,NBC Sports California,MLB,Kansas City Royals,Athletics
2025-06-15,11:00PM,Baseball,AFN Sports,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,BeIn Sports Max 4,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,ESPN 2 Australia,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,ESPN 2 New Zealand,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,ESPN Deportes,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,ESPN Nicaragua,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,ESPN US,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:05PM,Baseball,J Sports 4,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:10PM,Baseball,MLB.TV,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,RDS,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:10PM,Baseball,Sport1+,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,8:30PM,Baseball,SportsNet East,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,8:30PM,Baseball,SportsNet Ontario,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,8:30PM,Baseball,SportsNet Pacific,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,TNT Sports 1,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,TSN 1,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,TSN 4,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,Viaplay IS,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,Viaplay PL,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,11:00PM,Baseball,WatchESPN Australia,MLB,Los Angeles Dodgers,San Francisco Giants
2025-06-15,6:10PM,Baseball,MLB.TV,MLB,Milwaukee Brewers,St. Louis Cardinals
2025-06-15,5:40PM,Baseball,Arena Sport 2 RS,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:30PM,Baseball,Arena Sport 6 HR,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:30PM,Baseball,FanDuel Sports Network Sun,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:40PM,Baseball,MLB.TV,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:30PM,Baseball,Viaplay DK,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:30PM,Baseball,Viaplay IS,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:30PM,Baseball,Viaplay NO,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:30PM,Baseball,Viaplay PL,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:30PM,Baseball,Viaplay SE,MLB,New York Mets,Tampa Bay Rays
2025-06-15,5:35PM,Baseball,MLB.TV,MLB,Philadelphia Phillies,Toronto Blue Jays
2025-06-15,5:30PM,Baseball,SportsNet East,MLB,Philadelphia Phillies,Toronto Blue Jays
2025-06-15,5:30PM,Baseball,SportsNet Ontario,MLB,Philadelphia Phillies,Toronto Blue Jays
2025-06-15,5:30PM,Baseball,SportsNet Pacific,MLB,Philadelphia Phillies,Toronto Blue Jays
2025-06-15,5:30PM,Baseball,SportsNet West,MLB,Philadelphia Phillies,Toronto Blue Jays
2025-06-15,5:30PM,Baseball,TVA Sports,MLB,Philadelphia Phillies,Toronto Blue Jays
2025-06-15,8:10PM,Baseball,MLB Network,MLB,Seattle Mariners,Cleveland Guardians
2025-06-15,8:10PM,Baseball,MLB.TV,MLB,Seattle Mariners,Cleveland Guardians
2025-06-15,8:00PM,Baseball,Root Sports Northwest,MLB,Seattle Mariners,Cleveland Guardians
2025-06-15,8:00PM,Baseball,SportsNet 360,MLB,Seattle Mariners,Cleveland Guardians
2025-06-15,8:30PM,Baseball,SportsNet West,MLB,Seattle Mariners,Cleveland Guardians
2025-06-15,6:35PM,Baseball,MLB.TV,MLB,Texas Rangers,Chicago White Sox
2025-06-15,5:30PM,Baseball,MASN 2,MLB,Washington Nationals,Miami Marlins
2025-06-15,5:35PM,Baseball,MLB.TV,MLB,Washington Nationals,Miami Marlins
2025-06-16,10:40PM,Baseball,MLB.TV,MLB,Miami Marlins,Philadelphia Phillies
2025-06-16,11:05PM,Baseball,MLB Network,MLB,New York Yankees,Los Angeles Angels
2025-06-16,11:05PM,Baseball,MLB.TV,MLB,New York Yankees,Los Angeles Angels
2025-06-16,11:00PM,Baseball,RDS 2,MLB,New York Yankees,Los Angeles Angels
2025-06-16,11:00PM,Baseball,TSN 1,MLB,New York Yankees,Los Angeles Angels
2025-06-16,11:00PM,Baseball,TSN 4,MLB,New York Yankees,Los Angeles Angels
2025-06-16,11:00PM,Baseball,YES,MLB,New York Yankees,Los Angeles Angels
2025-06-16,11:30PM,Baseball,MASN 2,MLB,Tampa Bay Rays,Baltimore Orioles
2025-06-16,11:35PM,Baseball,MLB.TV,MLB,Tampa Bay Rays,Baltimore Orioles
2025-06-16,11:30PM,Baseball,SportsNet 360,MLB,Tampa Bay Rays,Baltimore Orioles
2025-06-16,11:30PM,Baseball,TNT Sports 2,MLB,Tampa Bay Rays,Baltimore Orioles
2025-06-16,10:45PM,Baseball,MASN,MLB,Washington Nationals,Colorado Rockies
2025-06-16,10:45PM,Baseball,MLB.TV,MLB,Washington Nationals,Colorado Rockies
2025-06-16,10:30PM,Baseball,Viaplay PL,MLB,Washington Nationals,Colorado Rockies
2025-06-17,2:00AM,Baseball,AFN Sports 2,MLB,Athletics,Houston Astros
2025-06-17,2:00AM,Baseball,NBC Sports California,MLB,Athletics,Houston Astros
2025-06-17,11:00PM,Baseball,ESPN 3 Netherlands,MLB,Atlanta Braves,New York Mets
2025-06-17,11:15PM,Baseball,MLB Network,MLB,Atlanta Braves,New York Mets
2025-06-17,10:30PM,Baseball,BeIn Sports Max 4,MLB,Detroit Tigers,Pittsburgh Pirates
2025-06-17,10:30PM,Baseball,Viaplay PL,MLB,Detroit Tigers,Pittsburgh Pirates
