STG,TSDB
Arizona Diamondbacks,Arizona Diamondbacks
Atlanta Braves,Atlanta Braves
Baltimore Orioles,Baltimore Orioles
Boston Red Sox,Boston Red Sox
Chicago Cubs,Chicago Cubs
Chicago White Sox,Chicago White Sox
Cincinnati Reds,Cincinnati Reds
Cleveland Guardians,Cleveland Guardians
Colorado Rockies,Colorado Rockies
Detroit Tigers,Detroit Tigers
Houston Astros,Houston Astros
Kansas City Royals,Kansas City Royals
Los Angeles Angels,Los Angeles Angels
Los Angeles Dodgers,Los Angeles Dodgers
Miami Marlins,Miami Marlins
Milwaukee Brewers,Milwaukee Brewers
Minnesota Twins,Minnesota Twins
New York Mets,New York Mets
New York Yankees,New York Yankees
Oakland Athletics,Athletics
Philadelphia Phillies,Philadelphia Phillies
Pittsburgh Pirates,Pittsburgh Pirates
San Diego Padres,San Diego Padres
San Francisco Giants,San Francisco Giants
Seattle Mariners,Seattle Mariners
St. Louis Cardinals,St. Louis Cardinals
Tampa Bay Rays,Tampa Bay Rays
Texas Rangers,Texas Rangers
Toronto Blue Jays,Toronto Blue Jays
Washington Nationals,Washington Nationals
Chiba Lotte Marines,Chiba Lotte Marines
Chunichi Dragons,Chunichi Dragons
Fukuoka SoftBank Hawks,Fukuoka SoftBank Hawks
Hanshin Tigers,Hanshin Tigers
Hiroshima Carp,Hiroshima Toyo Carp
Nippon Ham Fighters,Hokkaido Nippon-Ham Fighters
Orix Buffaloes,Orix Buffaloes
Rakuten Golden Eagles,Tohoku Rakuten Golden Eagles
Seibu Lions,Saitama Seibu Lions
Yakult Swallows,Tokyo Yakult Swallows
Yokohama BayStars,Yokohama DeNA BayStars
Yomiuri Giants,Yomiuri Giants
Doosan Bears,Doosan Bears
KIA Tigers,Kia Tigers
NC Dinos,NC Dinos
SK Wyverns,SSG Landers
Samsung Lions,Samsung Lions
Hanwha Eagles,Hanwha Eagles
Lotte Giants,Lotte Giants
LG Twins,LG Twins
KT Wiz Suwon,KT Wiz
Kiwoom Heroes,Kiwoom Heroes
