date,time,sport,channel,comp,ht,at
2025-06-13,6:30AM,Basketball,Sky Sport 4 NZ,Australian NBL,Nelson Giants,Otago Nuggets
2025-06-13,6:30AM,Basketball,Sky Sport 4 NZ,New Zealand NBL,Nelson Giants,Otago Nuggets
2025-06-13,6:30PM,Basketball,Polsat Sport,Polish Basketball League,KK Włocławek,Trefl Sopot
2025-06-13,7:00PM,Basketball,FOX Sports 2 Argentina,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Movistar Deportes,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:10PM,Basketball,Sport 1 IL,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Sport Klub 1 SI,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Sport Klub 3 HR,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Sport Klub 3 RS,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Sport Klub Polska,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:10PM,Basketball,Go3 Sport 3 LV,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Arena Sport 1 Premium RS,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Cosmote Sport 7 GR,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,DAZN Portugal,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Diema Sport 2 BG,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-13,7:15PM,Basketball,Eleven Sports 1 Portugal,Spanish Liga ACB,Real Madrid Baloncesto,Baloncesto Málaga
2025-06-14,6:30AM,Basketball,Sky Sport 4 NZ,Australian NBL,Wellington Saints,Auckland Tuatara
2025-06-14,6:25PM,Basketball,Polsat Sport News,Italian Lega Basket,Virtus Pallacanestro Bologna,Basket Brescia Leonessa
2025-06-14,6:25PM,Basketball,Sport 2 IL,Italian Lega Basket,Virtus Pallacanestro Bologna,Basket Brescia Leonessa
2025-06-14,6:30PM,Basketball,DAZN Belgium,Italian Lega Basket,Virtus Pallacanestro Bologna,Basket Brescia Leonessa
2025-06-14,6:30PM,Basketball,DAZN Australia,Italian Lega Basket,Virtus Pallacanestro Bologna,Basket Brescia Leonessa
2025-06-14,6:30PM,Basketball,Arena Sport 1 HR,Italian Lega Basket,Virtus Pallacanestro Bologna,Basket Brescia Leonessa
2025-06-14,6:30PM,Basketball,Arena Sport 1 RS,Italian Lega Basket,Virtus Pallacanestro Bologna,Basket Brescia Leonessa
2025-06-14,6:30PM,Basketball,DAZN Switzerland,Italian Lega Basket,Virtus Pallacanestro Bologna,Basket Brescia Leonessa
2025-06-14,1:50PM,Basketball,Sport Klub 4 HR,Lithuanian LKL,BC Lietuvos rytas,BC Žalgiris
2025-06-14,1:50PM,Basketball,Sport Klub 4 RS,Lithuanian LKL,BC Lietuvos rytas,BC Žalgiris
2025-06-14,1:50PM,Basketball,Sport Klub 5 SI,Lithuanian LKL,BC Lietuvos rytas,BC Žalgiris
2025-06-14,1:50PM,Basketball,Arena Sport 2 Premium RS,Lithuanian LKL,BC Lietuvos rytas,BC Žalgiris
2025-06-14,12:30AM,Basketball,Movistar Deportes,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,NBA League Pass,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Nova Sport 2 CZ,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,RDS 2,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,S Sport TR,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,S Sport+ TR,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sky Sport NBA,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sport 1 Hungary,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sport 5 IL,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sport TV 1,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Sportkanalen SWE,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Stöð 2 Sport 2 IS,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TSN 3,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TSN 4,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TV 2 Sport X,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Go3 Sport 1 LV,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,VG+ NO,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Belgium,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ABC,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,AFN Sports,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Arena Sport 1 HR,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Arena Sport 1 Premium RS,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Arena Sport 1 SI,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:00AM,Basketball,BeIN Sports 1 Qatar,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,BeIN Sports English 1 Qatar,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,BeIN Sports French 1 Qatar,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,BeIn Sports HD 1 France,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,TNT Sports 1,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Canal + Sport Polska,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Cosmote Sport 4 GR,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Austria,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,DAZN Germany,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,Diema Sport 2 BG,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN 1 Netherlands,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN 2 Honduras,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN 2 Nicaragua,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN 4 Netherlands,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN Australia,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Colombia,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:25AM,Basketball,ESPN Deportes,NBA,Indiana Pacers,Oklahoma City Thunder
2025-06-14,12:30AM,Basketball,ESPN New Zealand,NBA,Indiana Pacers,Oklahoma City Thunder
