STG,TSDB
Atlanta Hawks,Atlanta Hawks
Boston Celtics,Boston Celtics
Brooklyn Nets,Brooklyn Nets
Charlotte Hornets,Charlotte Hornets
Chicago Bulls,Chicago Bulls
Cleveland Cavaliers,Cleveland Cavaliers
Dallas Mavericks,Dallas Mavericks
Denver Nuggets,Denver Nuggets
Detroit Pistons,Detroit Pistons
Golden State Warriors,Golden State Warriors
Houston Rockets,Houston Rockets
Indiana Pacers,Indiana Pacers
Los Angeles Clippers,Los Angeles Clippers
Los Angeles Lakers,Los Angeles Lakers
Memphis Grizzlies,Memphis Grizzlies
Miami Heat,Miami Heat
Milwaukee Bucks,Milwaukee Bucks
Minnesota Timberwolves,Minnesota Timberwolves
New Orleans Pelicans,New Orleans Pelicans
New York Knicks,New York Knicks
Oklahoma City Thunder,Oklahoma City Thunder
Orlando Magic,Orlando Magic
Philadelphia 76ers,Philadelphia 76ers
Phoenix Suns,Phoenix Suns
Portland Trail Blazers,Portland Trail Blazers
Sacramento Kings,Sacramento Kings
San Antonio Spurs,San Antonio Spurs
Toronto Raptors,Toronto Raptors
Utah Jazz,Utah Jazz
Washington Wizards,Washington Wizards
Fuenlabrada,Baloncesto Fuenlabrada
Unicaja,Baloncesto Málaga
Tecnyconta Zaragoza,Basket Zaragoza
Baskonia,Baskonia
Manresa,Basquet Manresa
MoraBanc Andorra,BC Andorra
Bilbao,Bilbao Basket
Tenerife,CB 1939 Canarias
Breogan,CB Breogan
Gran Canaria,CB Gran Canaria
San Pablo Burgos,CB Miraflores
Murcia,CB Murcia
Barcelona,FC Barcelona Basquet
Joventut Badalona,Joventut Badalona
Obradoiro CAB,Obradoiro CAB
Real Betis,Real Betis Baloncesto
Real Madrid,Real Madrid Baloncesto
Valencia,Valencia Basket
Adelaide,Adelaide 36ers
Brisbane Bullets,Brisbane Bullets
Cairns,Cairns Taipans
Illawarra Hawks,Illawarra Hawks
Melbourne United,Melbourne United
New Zealand Breakers,New Zealand Breakers
Perth,Perth Wildcats
South East Melbourne,South East Melbourne Phoenix
Sydney,Sydney Kings
Tasmania JackJumpers,Tasmania JackJumpers
Astana,BC Astana
Enisey,BC Enisey
Parma Perm,Parma Basket
Saratov,BC Avtodor Saratov
Tsmoki Minsk,BC Tsmoki-Minsk
Zielona Gora,Basket Zielona Góra
Argentino,Argentino de Junín
Atenas,Atenas de Córdoba
Boca Juniors,Boca Juniors
Olimpico,Ciclista Olímpico
Comunicaciones Mercedes,Comunicaciones
Ferro,Ferro Carril Oeste
Gimnasia,Gimnasia y Esgrima de Comodoro Rivadavia
Hispano Americano,Hispano Americano
Instituto de Cordoba,Instituto de Cordoba
La Union,La Union
Obera TC,Obera TC
Obras Sanitarias,Obras Sanitarias
Penarol,Penarol
Platense,Platense
Quimsa,Quimsa
Regatas,Regatas Corrientes
Riachuelo,Riachuelo
San Lorenzo,San Lorenzo
San Martin,San Martin
Union De Santa Fe,
Borac,KK Borac Čačak
Buducnost,KK Budućnost
Cedevita Olimpija,KK Cedevita Olimpija
Cibona,Cibona Zagreb
Crvena zvezda,KK Crvena zvezda
FMP Beograd,KK FMP
Igokea,KK Igokea
KK Krka Novo Mesto,KK Krka
Mega Soccerbet,KK Mega Basket
Mornar Bar,KK Mornar Bar
Partizan,KK Partizan
Split,KK Split
Studentski Centar,KK Studentski centar
Zadar,KK Zadar
Dubai,BC Dubai
Subotica,KK Spartak Subotica
Bristol Flyers,Bristol Flyers
Cheshire Phoenix,Cheshire Phoenix
Glasgow Rocks,Glasgow Rocks
Leicester Riders,Leicester Riders
London Lions,London Lions
Manchester Basketball,Manchester Basketball
Newcastle Eagles,Newcastle Eagles
Plymouth City Patriots,Plymouth Raiders
Sheffield Sharks,Sheffield Sharks
Surrey 89ers,Surrey 89ers
Chalons-Reims,Châlons-Reims
Cholet,Cholet
Dijon,Dijon
Fos-sur-Mer,Fos Provence Basket
Gravelines-Dunkerque,Gravelines-Dunkerque
JL Bourg,Bourg-en-Bresse
Le Mans,Le Mans Sarthe Basket
Le Portel,ESSM Le Portel
Levallois,Metropolitans 92
Limoges,Limoges
Lyon-Villeurbanne,Lyon-Villeurbanne
Monaco,AS Monaco Basket
Nanterre,Nanterre
Orleans,Orléans Loiret Basket
Paris,Paris Basketball
Pau-Orthez,Pau-Lacq-Orthez
Roanne,Chorale Roanne Basket
Strasbourg,Strasbourg
Ada Blois,ADA Blois
Aix Maurienne,AMSB
