STG,TSDB
Big Bash League,Australian Big Bash League
Super League,Pakistan Super League
NatWest T20 Blast,English t20 Blast
Indian Premier League,Indian Premier League
CSA T20 Challenge,South African T20 Challenge
One Day International,One Day International Series
Twenty20 International,Twenty20 International Series
Test Series,International Test Match Series
ICC World Cup Women,Womens Cricket World Cup
The Hundred,The Hundred
Caribbean Premier League,Caribbean Premier League
Major League Cricket,Major League Cricket
ICC World Cup,Cricket World Cup
Super Smash,New Zealand Super Smash
T20 World Cup,ICC Mens T20 World Cup
T20 World Cup Women,ICC Womens T20 World Cup
Lanka Premier League,Lanka Premier League
SA20,SA20
ICC Champions Trophy,ICC Champions Trophy
