date,time,sport,channel,comp,ht,at
2025-06-11,5:55PM,Cricket,FOX Cricket,English t20 Blast,Notts Outlaws,Yorkshire Vikings
2025-06-11,9:00AM,Cricket,Sky Sport 1 NZ,International Test Match Series,Australia Cricket,South Africa Cricket
2025-06-11,9:30AM,Cricket,Sky Sports Cricket,International Test Match Series,Australia Cricket,South Africa Cricket
2025-06-11,9:30AM,Cricket,Sky Sports Main Event,International Test Match Series,Australia Cricket,South Africa Cricket
2025-06-11,8:30AM,Cricket,SuperSport Cricket,International Test Match Series,Australia Cricket,South Africa Cricket
2025-06-11,8:30AM,Cricket,SuperSport Grandstand,International Test Match Series,Australia Cricket,South Africa Cricket
2025-06-11,9:50AM,Cricket,Astro Cricket,International Test Match Series,Australia Cricket,South Africa Cricket
2025-06-12,5:30PM,Cricket,Sky Sports Cricket,English t20 Blast,Essex Eagles,Glamorgan t20
2025-06-12,5:45PM,Cricket,FOX Cricket,English t20 Blast,Essex Eagles,Glamorgan t20
2025-06-12,9:00AM,Cricket,Sky Sport 2 NZ,International Test Match Series,Australia Cricket,South Africa Cricket
2025-06-12,1:50PM,Cricket,SuperSport Variety 2,Twenty20 International Series,Ireland Cricket,West Indies Cricket
2025-06-12,1:45PM,Cricket,TNT Sports 1,Twenty20 International Series,Ireland Cricket,West Indies Cricket
2025-06-13,6:00PM,Cricket,Sky Sports Cricket,English t20 Blast,Gloucestershire t20,Somerset t20
2025-06-13,5:55PM,Cricket,FOX Cricket,English t20 Blast,Gloucestershire t20,Somerset t20
2025-06-14,5:30PM,Cricket,Sky Sports Cricket,English t20 Blast,Glamorgan t20,Sussex Sharks
2025-06-14,5:30PM,Cricket,SuperSport Variety 3,English t20 Blast,Glamorgan t20,Sussex Sharks
2025-06-14,5:55PM,Cricket,FOX Cricket,English t20 Blast,Glamorgan t20,Sussex Sharks
2025-06-14,1:50PM,Cricket,SuperSport Variety 3,Twenty20 International Series,Ireland Cricket,West Indies Cricket
2025-06-14,2:16PM,Cricket,TNT Sports 2,Twenty20 International Series,Ireland Cricket,West Indies Cricket
2025-06-15,3:00PM,Cricket,Sky Sports+,English t20 Blast,Somerset t20,Kent Spitfires
2025-06-17,6:00PM,Cricket,Sky Sports Cricket,English t20 Blast,Hampshire t20,Surrey t20
2025-06-17,6:00PM,Cricket,Sky Sports Main Event,English t20 Blast,Hampshire t20,Surrey t20
2025-06-17,5:55PM,Cricket,SuperSport Variety 2,English t20 Blast,Hampshire t20,Surrey t20
2025-06-17,1:55PM,Cricket,FOX Cricket,English t20 Blast,Hampshire t20,Surrey t20
2025-06-17,3:50AM,Cricket,SuperSport Cricket,International Test Match Series,Sri Lanka Cricket,Bangladesh Cricket
2025-06-18,5:30PM,Cricket,Sky Sports Cricket,English t20 Blast,Kent Spitfires,Gloucestershire t20
2025-06-18,5:30PM,Cricket,Sky Sports Main Event,English t20 Blast,Kent Spitfires,Gloucestershire t20
2025-06-18,5:25PM,Cricket,SuperSport Cricket,English t20 Blast,Kent Spitfires,Gloucestershire t20
2025-06-18,5:25PM,Cricket,FOX Cricket,English t20 Blast,Kent Spitfires,Gloucestershire t20
2025-06-19,5:30PM,Cricket,Sky Sports Cricket,English t20 Blast,Leicestershire Foxes,Notts Outlaws
2025-06-19,5:25PM,Cricket,SuperSport Cricket,English t20 Blast,Leicestershire Foxes,Notts Outlaws
2025-06-20,5:45PM,Cricket,Sky Sports Cricket,English t20 Blast,Surrey t20,Middlesex t20
2025-06-20,10:00AM,Cricket,Sky Sports Cricket,International Test Match Series,England Cricket,India Cricket
2025-06-20,9:50AM,Cricket,SuperSport Cricket,International Test Match Series,England Cricket,India Cricket
