STG,TSDB
Dolphins,Dolphins
Imperial Lions,Highveld Lions
North West,North West
Boland,Rocks
Titans,Titans
Knights,VKB Knights
Warriors,Warriors
Western Province,Western Province
Islamabad United,Islamabad United
Karachi Kings,Karachi Kings
Lahore Qalandars,Lahore Qalandars
Multan Sultans,Multan Sultans
Peshawar Zalmi,Peshawar Zalmi
Quetta Gladiators,Quetta Gladiators
Adelaide Strikers,Adelaide Strikers
Brisbane Heat,Brisbane Heat
Hobart Hurricanes,Hobart Hurricanes
Melbourne Renegades,Melbourne Renegades
Melbourne Stars,Melbourne Stars
Perth Scorchers,Perth Scorchers
Sydney Sixers,Sydney Sixers
Sydney Thunder,Sydney Thunder
Birmingham,Birmingham Bears
Derbyshire,Derbyshire Falcons
Durham,Durham Jets
Essex,Essex Eagles
Glamorgan,Glamorgan t20
Gloucestershire,Gloucestershire t20
Hampshire,Hampshire t20
Kent,Kent Spitfires
Lancashire,Lancashire Lightning
Leicestershire,Leicestershire Foxes
Middlesex,Middlesex t20
Northamptonshire,Northants Steelbacks
Nottinghamshire,Notts Outlaws
Somerset,Somerset t20
Surrey,Surrey t20
Sussex,Sussex Sharks
Worcestershire,Worcestershire Rapids
Yorkshire,Yorkshire Vikings
Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Delhi Capitals
Kings XI Punjab,Punjab Kings
Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Mumbai Indians
Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Sunrisers Hyderabad
Lucknow Super Giants,Lucknow Super Giants
Gujarat Titans,Gujarat Titans
Colombo,Colombo Strikers
Dambulla,Dambulla Sixers
Galle,Galle Marvels
Jaffna,Jaffna Kings
Kandy,Kandy Falcons
Australia,Australia Cricket
England,England Cricket
India,India Cricket
Netherlands,Netherlands Cricket
New Zealand,New Zealand Cricket
Pakistan,Pakistan Cricket
South Africa,South Africa Cricket
Sri Lanka,Sri Lanka Cricket
West Indies,West Indies Cricket
Zimbabwe,Zimbabwe Cricket
Ireland,Ireland Cricket
USA,USA Cricket
United Arab Emirates,UAE Cricket
Nepal,Nepal Cricket
Kenya,Kenya Cricket
Uganda,Uganda Cricket
Afghanistan,Afghanistan Cricket
Bangladesh,Bangladesh Cricket
Namibia,Namibia Cricket
Papua New Guinea,Papua New Guinea Cricket
Canada,Canada Cricket
Oman,Oman Cricket
Scotland,Scotland Cricket
Australia W,Australia Cricket Women
Bangladesh W,Bangladesh Cricket Women
England W,England Cricket Women
India W,India Cricket Women
New Zealand W,New Zealand Cricket Women
Pakistan W,Pakistan Cricket Women
South Africa W,South Africa Cricket Women
West Indies W,West Indies Cricket Women
Scotland W,Scotland Women
Sri Lanka W,Sri Lanka Cricket Women
Birmingham Phoenix,Birmingham Phoenix
London Spirit,London Spirit
Manchester Originals,Manchester Originals
Northern Superchargers,Northern Superchargers
Oval Invincibles,Oval Invincibles
Southern Brave,Southern Brave
Trent Rockets,Trent Rockets
Welsh Fire,Welsh Fire
Barbados Tridents,Barbados Royals
Guyana Amazon Warriors,Guyana Amazon Warriors
Jamaica Tallawahs,Jamaica Tallawahs
Saint Kitts and Nevis Patriots,St Kitts & Nevis Patriots
Saint Lucia Zouks,Saint Lucia Kings
Trinbago Knight Riders,Trinbago Knight Riders
Antigua and Barbuda,Antigua and Barbuda Falcons
Los Angeles Knight Riders,Los Angeles Knight Riders
MI New York,MI New York
San Francisco Unicorns,San Francisco Unicorns
Seattle Orcas,Seattle Orcas
Texas Super Kings,Texas Super Kings
Washington Freedom,Washington Freedom
Auckland Aces,Auckland Aces
Canterbury Kings,Canterbury
Central Stags,Central Stags
Northern Brave,Northern District Knights
Otago Volts,Otago Volts
Wellington Firebirds,Wellington Firebirds
Durbans Super Giants,Durbans Super Giants
Joburg Super Kings,Joburg Super Kings
MI Cape Town,MI Cape Town
Paarl Royals,Paarl Royals
Pretoria Capitals,Pretoria Capitals
Sunrisers Eastern Cape,Sunrisers Eastern Cape
