STG,TSDB
AFC Champions League,AFC Champions League Elite
AFC Champions League 2,AFC Champions League Two
A-league,Australian A-League
China League One,China League One
Super League,Chinese Super League
Liga 1,Indonesian Super League
J-League,Japanese J1 League
YBC Levain Cup,Japanese JLeague Cup
Stars League,Qatar Stars League
Saudi Professional League,Saudi-Arabian Pro League
Premier League,Singapore Premier League
K League 1,South Korean K League 1
Tajik League,Tajikistan Vysshaya Liga
Thai Premier League,Thai Premier League
UAE Arabian Gulf League,UAE Pro League
ISL,Indian Super League
