date,time,sport,channel,comp,ht,at
2025-06-13,10:30AM,Football,Optus Sport,South Korean K League 1,Gangwon FC,Jeonbuk Hyundai Motors
2025-06-13,10:30AM,Football,Optus Sport,South Korean K League 1,Gwangju FC,FC Seoul
2025-06-14,11:30AM,Football,Gol Television,Chinese Super League,Sichuan Jiuniu,Shanghai Shenhua
2025-06-14,11:35AM,Football,Sportbox.ru,Chinese Super League,Sichuan Jiuniu,Shanghai Shenhua
2025-06-14,11:35AM,Football,Telekanal Futbol RU,Chinese Super League,Sichuan Jiuniu,Shanghai Shenhua
2025-06-14,10:00AM,Football,Optus Sport,Japanese J1 League,FC Tokyo,Cerezo Osaka
2025-06-14,10:00AM,Football,Optus Sport,South Korean K League 1,Jeju United FC,Daegu FC
2025-06-15,5:00AM,Football,Optus Sport,Japanese J1 League,Albirex Niigata,Yokohama F Marinos
2025-06-15,5:00AM,Football,Optus Sport,Japanese J1 League,Albirex Niigata S,Yokohama F Marinos
2025-06-17,10:30AM,Football,Optus Sport,South Korean K League 1,FC Seoul,Gangwon FC
2025-06-17,10:30AM,Football,Optus Sport,South Korean K League 1,Jeonbuk Hyundai Motors,Suwon FC
2025-06-18,10:30AM,Football,Optus Sport,South Korean K League 1,Jeju United FC,Gwangju FC
2025-06-25,11:35AM,Football,Telekanal Futbol RU,Chinese Super League,Shandong Taishan,Wuhan Three Towns
2025-06-29,11:35AM,Football,Telekanal Futbol RU,Chinese Super League,Wuhan Three Towns,Chengdu Better City
