STG,TSDB
Arema FC,Arema FC
Bali United,Bali United
Barito Putera,PS Barito Putera
Bhayangkara Utd,Bhayangkara FC
Cilegon United,RANS Nusantara
Madura United,Madura United
Martapura,Dewa United
Persebaya,Persebaya
Persib Bandung,Persib Bandung
Persija Jakarta,Persija
Persik Kediri,Persik Kediri
Persis Solo,Persis Solo
Persita,Persita
PS Tira,Persikabo 1973
PSIS Semarang,PSIS Semarang
PSM Makassar,PSM Makassar
PSS Sleman,PSS Sleman
Pusamania Borneo,Borneo FC
Beijing Guoan,Beijing Guoan
Cangzhou,Shijiazhuang Yongchang FC
Changchun Yatai,Changchun Yatai
Chengdu Qianbao,Chengdu Better City
Dalian Pro,Dalian Yifang
Henan Songshan Longmen,Henan Jianye
Meizhou Hakka,Meizhou Hakka
Nantong Zhiyun,Nantong Zhiyun
Qingdao Jonoon,Qingdao Hainiu
Shandong Taishan,Shandong Taishan
Shanghai Port,Shanghai Port
Shanghai Shenhua,Shanghai Shenhua
Shenzhen,Shenzhen FC
Tianjin Jinmen Tiger,Tianjin Teda
Wuhan Three Towns,Wuhan Three Towns
Zhejiang Greentown,Hangzhou Greentown
Daegu,Daegu FC
Daejeon,Daejeon Hana Citizen
Gangwon,Gangwon FC
Gwangju FC,Gwangju FC
Incheon,Incheon United FC
Jeju Utd,Jeju United FC
Jeonbuk,Jeonbuk Hyundai Motors
Pohang,Pohang Steelers
Seoul,FC Seoul
Suwon Bluewings,Suwon Samsung Bluewings
Suwon City,Suwon FC
Ulsan Hyundai,Ulsan HD
Albirex Niigata,Albirex Niigata
Avispa Fukuoka,Avispa Fukuoka
Cerezo Osaka,Cerezo Osaka
FC Tokyo,FC Tokyo
G-Osaka,Gamba Osaka
Hiroshima,Sanfrecce Hiroshima
Kashima,Kashima Antlers
Kashiwa,Kashiwa Reysol
Kawasaki Frontale,Kawasaki Frontale
Kobe,Vissel Kobe
Kyoto,Kyoto Sanga
Nagoya,Nagoya Grampus
Sagan Tosu,Sagan Tosu
Sapporo,Hokkaido Consadole Sapporo
Shonan,Shonan Bellmare
Urawa,Urawa Red Diamonds
Yokohama FC,Yokohama FC
Yokohama Marines,Yokohama F Marinos
Bangkok Glass,BG Pathum United
Bangkok Utd,Bangkok United
Buriram,Buriram United
Chiangrai Utd,Chiangrai United
Chonburi,Chonburi FC
Khonkaen Utd.,Khon Kaen United
Lamphun Warrior,Lamphun Warrior
Muang Thong Utd,Muangthong United
Nakhon Pathom,Nakhon Pathom United
Police Tero,Police Tero
Port MTI FC,Port FC
Prachuap,Prachuap
Ratchaburi,Ratchaburi
Sukhothai,Sukhothai FC
Trat FC,Trat FC
Uthai Thani,Uthai Thani
Albirex Niigata,Albirex Niigata S
Balestier Khalsa,Balestier Khalsa
DPMM,DPMM FC
Geylang,Geylang International
Hougang,Hougang United
Lion City,Home United
Tampines,Tampines Rovers
