STG,TSDB
Amazulu,Amazulu
Bloem Celtic,Real Kings
Cape Town City,Cape Town City
Cape Town Spurs,Cape Town Spurs
Chippa United,Chippa United
Golden Arrows,Golden Arrows
Kaizer Chiefs,Kaizer Chiefs
Mamelodi Sundowns,Mamelodi Sundowns
Orlando Pirates,Orlando Pirates
Polokwane,Polokwane City
Richards Bay,Richards Bay
Sekhukhune,Sekhukhune United
Stellenbosch,Stellenbosch
Supersport,SuperSport United
Swallows,Moroka Swallows
Tshakhuma,Marumo Gallants
Magesi,Magesi
TS Galaxy,TS Galaxy
Al Ahly,Al Ahly SC
Al-Hilal Omdurman,Al-Hilal Omdurman
ASEC Mimosas,ASEC Mimosas
Petro Atletico,Atlético Petróleos
CR Belouizdad,CR Belouizdad
Esperance Tunis,Espérance de Tunis
Etoile Sahel,Étoile Sportive du Sahel
Jwaneng Galaxy FC,Jwaneng Galaxy
Mamelodi Sundowns,Mamelodi Sundowns
Medeama,Medeama
Nouadhibou,Nouadhibou
Pyramids,Pyramids FC
Simba,Simba SC
Mazembe,TP Mazembe
Wydad,Wydad Casablanca
Young Africans,Young Africans
