date,time,sport,channel,comp,ht,at
2025-06-15,11:00PM,Football,Fox Sports 2 US,Canadian Premier League,Atlético Ottawa,Valour
2025-06-15,11:00PM,Football,FuboTV,Canadian Premier League,Atlético Ottawa,Valour
2025-06-15,11:00PM,Football,OneSoccer CA,Canadian Premier League,Atlético Ottawa,Valour
2025-06-15,11:00PM,Football,TSN 2,Canadian Premier League,Atlético Ottawa,Valour
2025-06-15,8:00PM,Football,Fox Sports 2 US,Canadian Premier League,Vancouver FC,Forge FC
2025-06-15,8:00PM,Football,FuboTV,Canadian Premier League,Vancouver FC,Forge FC
2025-06-15,8:00PM,Football,OneSoccer CA,Canadian Premier League,Vancouver FC,Forge FC
2025-06-15,11:00PM,Football,ESPN +,USL League One,Charlotte Independence,Greenville Triumph SC
2025-06-20,11:00PM,Football,ESPN 2 US,American USL Championship,Lexington SC,Colorado Springs
2025-06-21,10:00PM,Football,OneSoccer CA,Canadian Premier League,Cavalry,Pacific FC
2025-06-21,7:00PM,Football,OneSoccer CA,Canadian Premier League,HFX Wanderers,Vancouver FC
2025-06-25,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,CF Montréal,FC Cincinnati
2025-06-25,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,Columbus Crew,Atlanta United
2025-06-26,12:30AM,Football,MLS Seasons Pass,American Major League Soccer,Chicago Fire,Philadelphia Union
2025-06-26,1:30AM,Football,MLS Seasons Pass,American Major League Soccer,Real Salt Lake,Los Angeles FC
2025-06-28,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,FC Dallas,Nashville SC
2025-06-28,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,Inter Miami,Atlanta United
2025-06-28,11:30PM,Football,MLS Seasons Pass,American Major League Soccer,Toronto FC,Portland Timbers
2025-06-29,12:30AM,Football,MLS Seasons Pass,American Major League Soccer,Chicago Fire,Charlotte
2025-07-03,12:00AM,Football,Paramount+ US,American USL Championship,Birmingham Legion,Charleston Battery
2025-07-05,1:00AM,Football,Paramount+ US,American USL Championship,Colorado Springs,Louisville City
2025-07-06,9:00PM,Football,Paramount+ US,American USL Championship,Charleston Battery,North Carolina FC
2025-07-10,1:00AM,Football,Paramount+ US,US Open Cup,Nashville SC,FC Dallas
2025-07-13,9:00PM,Football,Paramount+ US,American USL Championship,Pittsburgh Riverhounds,Loudoun United
