STG,TSDB
Atlanta United,Atlanta United
Austin,Austin FC
CF Montréal,CF Montréal
Charlotte,Charlotte
Chicago Fire,Chicago Fire
Cincinnati,FC Cincinnati
Colorado Rapids,Colorado Rapids
Columbus Crew,Columbus Crew
Dallas,DC United
DC United,FC Dallas
Houston Dynamo,Houston Dynamo
Inter Miami CF,Inter Miami
LA Galaxy,Los Angeles Galaxy
LA Galaxy,LA Galaxy
Los Angeles FC,Los Angeles FC
Minnesota United,Minnesota
Nashville SC,Nashville SC
New England,New England Revolution
New York City,New York City FC
New York RB,New York Red Bulls
Orlando City SC,Orlando City
Philadelphia Union,Philadelphia Union
Portland Timbers,Portland Timbers
Real Salt Lake,Real Salt Lake
Seattle Sounders FC,Seattle Sounders
SJ Earthquakes,San Jose Earthquakes
Sporting KC,Sporting Kansas City
Toronto FC,Toronto FC
Vancouver Whitecaps,Vancouver Whitecaps
Atlas,Atlas
Atlético San Luis,Atletico de San Luis
Guadalajara Chivas,CD Guadalajara
Club America,CF America
Cruz Azul,Cruz Azul
Juarez,FC Juarez
Club Leon,Leon
Mazatlan FC,Mazatlán
Monterrey,Monterrey
Necaxa,Necaxa
Pachuca,Pachuca
Puebla,Puebla
U.N.A.M.- Pumas,Pumas
Queretaro,Queretaro FC
Santos Laguna,Santos
U.A.N.L.- Tigres,Tigres
Club Tijuana,Tijuana
Toluca,Toluca
Atl. Ottawa,Atlético Ottawa
Cavalry,Cavalry
Forge,Forge FC
HFX Wanderers,HFX Wanderers
Pacific FC,Pacific FC
Valour,Valour
Vancouver FC,Vancouver FC
York Utd,York United
Birmingham,Birmingham Legion
Charleston,Charleston Battery
Colorado Springs,Colorado Springs
Detroit,Detroit City FC
El Paso,El Paso Locomotive
FC Tulsa,Tulsa Roughnecks
Hartford,Hartford Athletic
Indy Eleven,Indy Eleven
Las Vegas Lights,Las Vegas Lights
Loudoun,Loudoun United
Louisville City,Louisville City
Memphis,Memphis 901
Miami FC,Miami FC
Monterey Bay,Monterey Bay FC
New Mexico,New Mexico United
Oakland Roots,Oakland Roots
Orange County SC,Orange County SC
Phoenix Rising,Phoenix Rising
Pittsburgh,Pittsburgh Riverhounds
Rio Grande,Rio Grande Valley
Sacramento Republic,Sacramento Republic
San Antonio,San Antonio
San Diego Loyal,San Diego Loyal
Tampa Bay,Tampa Bay Rowdies
Central Valley Fuego,Central Valley Fuego FC
Charlotte Independence,Charlotte Independence
Chattanooga,Chattanooga Red Wolves SC
Forward Madison,Forward Madison FC
Greenville,Greenville Triumph SC
Lexington,Lexington SC
North Carolina,North Carolina FC
Northern Colorado,Northern Colorado Hailstorm FC
One Knoxville,One Knoxville SC
Richmond Kickers,Richmond Kickers
South Georgia Tormenta,Tormenta FC
Union Omaha,Union Omaha
Alajuelense,Alajuelense
Cartagines,Cartaginés
Grecia,Grecia
Guanacasteca,Guanacasteca
Herediano,CS Herediano
Liberia,Municipal Liberia
Puntarenas FC,Puntarenas
San Carlos,AD San Carlos
Santos DG,Santos de Guápiles
Saprissa,Deportivo Saprissa
Sporting San Jose,Sporting San Jose
Zeledon,Pérez Zeledón
Achuapa,Achuapa
Antigua,Antigua GFC
Coatepeque,Coatepeque FC
Coban Imperial,Cobán Imperial
Comunicaciones,Comunicaciones
Deportivo M.,Mixco
Guastatoya,CD Guastatoya
Malacateco,Malacateco
Municipal,Municipal
Xelaju,Xelajú
Xinabajul,Xinabajul
Zacapa,Zacapa
