STG,TSDB
Liga Profesional,Argentinian Primera Division
Copa de la Liga Profesional,Argentinian Copa de la Liga Profesional
Copa Argentina,Copa Argentina
Division Profesional,Bolivian Primera División
Série A,Brazilian Serie A
Serie B,Brazilian Serie B
Serie C,Brazilian Serie C
Primera Division,Chile Primera Division
Primera A,Colombia Categoría Primera A
Primera B,Colombian Categoría Primera B
Copa Libertadores,Copa Libertadores
Copa Sudamericana,Copa Sudamericana
Serie A,Ecuadorian Serie A
Primera Division,Paraguayan Primera Division
Primera Division,Peruvian Primera Division
Primera Division,Uruguayan Primera Division
Primera Division,Venezuela Primera Division
