date,time,sport,channel,comp,ht,at
2025-06-13,12:20AM,Football,Canais Globo,Brazilian Serie A,Sao Paulo,Vasco da Gama
2025-06-13,12:20AM,Football,Canais Globo,Brazilian Serie A,São Paulo,Vasco da Gama
2025-06-13,11:30PM,Football,Gol TV USA,Chile Primera Division,Cerro Largo,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Chile Primera Division,Cerro Largo,Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Chile Primera Division,Cerro Largo FC,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Chile Primera Division,Cerro Largo FC,Wanderers
2025-06-13,7:00PM,Football,Gol TV USA,Chile Primera Division,Montevideo City Torque,Progreso
2025-06-13,9:00PM,Football,Gol TV USA,Chile Primera Division,Plaza Colonia,Cerro
2025-06-13,11:30PM,Football,Gol TV USA,Paraguayan Primera Division,Cerro Largo,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Paraguayan Primera Division,Cerro Largo,Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Paraguayan Primera Division,Cerro Largo FC,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Paraguayan Primera Division,Cerro Largo FC,Wanderers
2025-06-13,7:00PM,Football,Gol TV USA,Paraguayan Primera Division,Montevideo City Torque,Progreso
2025-06-13,9:00PM,Football,Gol TV USA,Paraguayan Primera Division,Plaza Colonia,Cerro
2025-06-13,11:30PM,Football,Gol TV USA,Peruvian Primera Division,Cerro Largo,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Peruvian Primera Division,Cerro Largo,Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Peruvian Primera Division,Cerro Largo FC,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Peruvian Primera Division,Cerro Largo FC,Wanderers
2025-06-13,7:00PM,Football,Gol TV USA,Peruvian Primera Division,Montevideo City Torque,Progreso
2025-06-13,9:00PM,Football,Gol TV USA,Peruvian Primera Division,Plaza Colonia,Cerro
2025-06-13,11:30PM,Football,Gol TV USA,Uruguayan Primera Division,Cerro Largo,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Uruguayan Primera Division,Cerro Largo,Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Uruguayan Primera Division,Cerro Largo FC,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Uruguayan Primera Division,Cerro Largo FC,Wanderers
2025-06-13,7:00PM,Football,Gol TV USA,Uruguayan Primera Division,Montevideo City Torque,Progreso
2025-06-13,9:00PM,Football,Gol TV USA,Uruguayan Primera Division,Plaza Colonia,Cerro
2025-06-13,11:30PM,Football,Gol TV USA,Venezuela Primera Division,Cerro Largo,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Venezuela Primera Division,Cerro Largo,Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Venezuela Primera Division,Cerro Largo FC,Montevideo Wanderers
2025-06-13,11:30PM,Football,Gol TV USA,Venezuela Primera Division,Cerro Largo FC,Wanderers
2025-06-13,7:00PM,Football,Gol TV USA,Venezuela Primera Division,Montevideo City Torque,Progreso
2025-06-13,9:00PM,Football,Gol TV USA,Venezuela Primera Division,Plaza Colonia,Cerro
2025-06-14,8:00PM,Football,DAZN Brasil,Brazilian Serie C,Ponte Preta,ABC Futebol Clube
2025-06-15,19:00,Football,televen,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,6:10PM,Football,DAZN 1 France,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,7:00PM,Football,FPT TV VNM,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,7:00PM,Football,Pro TV Romania,Brazilian Serie B,Atletico GO,Coritiba
2025-06-15,7:00PM,Football,VOYO,Brazilian Serie B,Atletico GO,Coritiba
2025-06-19,12:00AM,Football,Fanatiz INT,Chile Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Paraguayan Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Peruvian Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Uruguayan Primera Division,Comerciantes Unidos,Alianza Lima
2025-06-19,12:00AM,Football,Fanatiz INT,Venezuela Primera Division,Comerciantes Unidos,Alianza Lima
