STG,TSDB
12 de Octubre,12 de Octubre
2 de Mayo,2 de Mayo
9 de Octubre,9 de Octubre
ABC,ABC Futebol Clube
AD Cantolao,Academia Deportiva Cantolao
Puerto Cabello,Academia Puerto Cabello
Alianza Atl.,Alianza Atlético
Petrolera,Alianza de Valledupar
Alianza Lima,Alianza Lima
Alianza,Alianza Petrolera F.C.
AE Altos,Altos
Always Ready,Always Ready
Amazonas,Amazonas
America De Cali,América de Cali
America MG,America MG
America RN,America RN
Angostura,Angostura
Dep. Anzoategui,Anzoátegui
Aparecidense,Aparecidense
Aragua,Aragua
Argentinos Jrs,Argentinos Juniors
Arsenal Sarandi,Arsenal Sarandi
ADT Tarma,Asociación Deportiva Tarma
Bucaramanga,Atlético Bucaramanga
Atletico F.C.,Atlético Cali
Atletico GO,Atletico GO
Grau,Atlético Grau
Huila,Atlético Huila
Junior,Atlético Junior
Atlético Mineiro,Atletico MG
Atlético Mineiro,Atlético Mineiro
Atletico Nacional,Atlético Nacional
Vinto,Atlético Palmaflor
Atletico-PR,Atletico PR
Atletico Tucuman,Atletico Tucuman
Atletico Tucuman,Atlético Tucumán
Aucas,Aucas
Audax Italiano,Audax Italiano
Aurora,Aurora
Avai,Avai FC
Ayacucho,Ayacucho FC
Bahia,Bahia
Banfield,Banfield
Barcelona SC,Barcelona SC
Barracas Central,Barracas Central
Barranquilla,Barranquilla FC
Belgrano,Belgrano
Blooming,Blooming
Boca Juniors,Boca Juniors
Popayan,Boca Juniors de Cali
Bogota,Bogotá FC
Bolivar,Bolivar
Bolivar,Bolívar
Boston River,Boston River
Botafogo RJ,Botafogo
Botafogo PB,Botafogo PB
Botafogo RJ,Botafogo RJ
Botafogo SP,Botafogo SP
Chico,Boyacá Chicó
Bragantino,Bragantino
Brusque,Brusque
River Plate,CA River Plate
Carabobo,Carabobo
Carabobo,Carabobo F.C.
Caracas,Caracas
Caracas,Caracas F.C.
Carlos Mannucci,Carlos A Mannucci
Dep. Municipal,CC Deportivo Municipal
Ceara,Ceara
Central Cordoba,Central Córdoba de Santiago del Estero
CA Cerro,Cerro
Cerro Largo,Cerro Largo
Cerro Largo,Cerro Largo FC
Cerro Porteno,Cerro Porteño
Chapecoense-SC,Chapecoense AF
Cienciano,Cienciano
Guabira,Club Deportivo Guabirá
Guarani,Club Guaraní
Libertad Asuncion,Club Libertad
Nacional Asuncion,Club Nacional
Olimpia Asuncion,Club Olimpia
River Plate,Club River Plate Asunción
Cobreloa,Cobreloa
Cobresal,Cobresal
Colo Colo,Colo-Colo
Colon Santa FE,Colon
Comerciantes Unidos,Comerciantes Unidos
Confianca,Confiança
Coquimbo,Coquimbo Unido
Corinthians,Corinthians
Coritiba,Coritiba
Cortulua,Cortuluá
CRB,CRB
Criciuma,Criciuma
Cruzeiro,Cruzeiro
CSA,CS Alagoano
Macara,CSD Macará
Cucuta,Cúcuta Deportivo
Cuiaba Esporte,Cuiaba
Cumbaya,Cumbayá
Curico Unido,Curicó Unido
Cusco,Cusco FC
Danubio,Danubio
Defensa y Justicia,Defensa y Justicia
Defensor Sporting,Defensor Sporting
Delfin,Delfin
Delfin,Delfin SC
Antofagasta,Deportes Antofagasta
Copiapo,Deportes Copiapó
Deportes Iquique,Deportes Iquique
Quindio,Deportes Quindío
Deportes Tolima,Deportes Tolima
Deportivo Cali,Deportivo Cali
Deportivo Cuenca,Deportivo Cuenca
Deportivo Garcilaso,Deportivo Garcilaso
La Guaira,Deportivo La Guaira
Lara,Deportivo Lara
Maldonado,Deportivo Maldonado
Deportivo Pasto,Deportivo Pasto
Pereira,Deportivo Pereira
Rayo Zuliano,Deportivo Rayo Zuliano
Deportivo Riestra,Deportivo Riestra
Dep. Tachira,Deportivo Táchira
Dep. Tachira,Deportivo Táchira F.C.
El Nacional,El Nacional
Binacional,EM Deportivo Binacional
Emelec,Emelec
Envigado,Envigado
Estudiantes L.P.,Estudiantes de la Plata
Estudiantes Merida,Estudiantes de Mérida
Estudiantes Merida,Estudiantes de Mérida F.C.
Everton,Everton de Viña del Mar
Melgar,FBC Melgar
Fenix,Fenix
Figueirense,Figueirense
Flamengo RJ,Flamengo
Floresta EC,Floresta
Fluminense,Fluminense
Fortaleza,Fortaleza
Fortaleza,Fortaleza CEIF
General Caballero JLM,General Caballero
Gimnasia La Plata,Gimnasia LP
Gimnasia La Plata,Gimnasia y Esgrima de La Plata
Godoy Cruz,Godoy Cruz
Goias,Goias
Gremio,Gremio
Gremio,Grêmio
Guairena FC,Guaireña FC
Gualaceo,Gualaceo
Guarani,Guarani
Guayaquil City,Guayaquil City FC
GV San Jose,GV San José
Hermanos Colmenares,Hermanos Colmenarez
Huachipato,Huachipato
Huracan,Huracan
Huracan,Huracán
Imbabura,Imbabura
Independiente,Independiente
Independiente del Valle,Independiente del Valle
Ind. Medellin,Independiente Medellín
Independiente Petroleros,Independiente Petrolero
Ind. Rivadavia,Independiente Rivadavia
Santa Fe,Independiente Santa Fe
Instituto,Instituto ACC
Internacional,Internacional
Ituano,Ituano
Jaguares de Cordoba,Jaguares de Córdoba
Juventud Las Piedras,Juventud Las Piedras
Juventude,Juventude
La Equidad,La Equidad
La Luz,La Luz
Lanus,Lanus
Lanus,Lanús
LDU Quito,LDU Quito
Leones,Leones FC
Libertad,Libertad FC
Libertad Gran Mamore,Libertad Gran Mamoré
Liverpool M.,Liverpool Montevideo
Llaneros,Llaneros
Londrina,Londrina EC
Santa Rosa,Los Chankas
Macara,Macará
Magallanes,Magallanes
Manaus,Manaus FC
FBC Melgar,Melgar
Metropolitanos,Metropolitanos
Metropolitanos,Metropolitanos F.C.
Millonarios,Millonarios
Millonarios,Millonarios F.C.
Mineros,Mineros de Guayana
Mirassol,Mirassol
Monagas,Monagas
Monagas,Monagas S.C.
CA Torque,Montevideo City Torque
Wanderers,Montevideo Wanderers
Mushuc Runa,Mushuc Runa
Mushuc Runa,Mushuc Runa SC
Club Nacional,Nacional Montevideo
Nacional Potosi,Nacional Potosí
Nautico,Nautico
Newells Old Boys,Newell's Old Boys
Newells Old Boys,Newells Old Boys
Novorizontino,Novorizontino
Nublense,Ñublense
O'Higgins,OHiggins
Once Caldas,Once Caldas
Operario,Operario Ferroviario
Orense,Orense
Oriente Petrolero,Oriente Petrolero
Orsomarso,Orsomarso
Palestino,Palestino
Palmeiras,Palmeiras
Patriotas,Patriotas Boyacá
Patronato,Patronato de Parana
Paysandu PA,Paysandu
Penarol,Peñarol
Platense,Platense
Plaza Colonia,Plaza Colonia
Ponte Preta,Ponte Preta
Portuguesa,Portuguesa F.C.
Portuguesa,Portuguesa FC
Pouso Alegre,Pouso Alegre
Progreso,Progreso
Puerto Cabello,Puerto Cabello F.C.
Racing Club,Racing Club
Racing Montevideo,Racing Montevideo
Rayo Zuliano,Rayo Zuliano
Cartagena,Real Cartagena
La Guaira,Real Esppor Club
Real San Andres,Real San Andrés
Santa Cruz,Real Santa Cruz
Tomayapo,Real Tomayapo
Remo,Remo
Rentistas,Rentistas
Resistencia,Resistencia
Aguilas,Rionegro Águilas
River Plate,River Plate
Rosario Central,Rosario Central
Royal Pari,Royal Pari
Sampaio Correa,Sampaio Correa
SA Bulo Bulo,San Antonio Bulo Bulo
San Jose,San Jose
San Lorenzo,San Lorenzo
San Martín San Juan,San Martín de San Juan
Santos,Santos FC
Sao Bernardo,São Bernardo
EC Sao Jose,São José
Sao Paulo,Sao Paulo
Sao Paulo,São Paulo
Sarmiento Junin,Sarmiento
Aucas,SD Aucas
Sol de America,Sol de América
Sport Boys,Sport Boys Association
Sport Recife,Sport Club do Recife
Sport Huancayo,Sport Huancayo
Sporting Cristal,Sporting Cristal
Ameliano,Sportivo Ameliano
Sportivo Luqueno,Sportivo Luqueño
Sportivo Trinidense,Sportivo Trinidense
Tacuary,Tacuary
Talleres Cordoba,Talleres de Cordoba
Talleres Cordoba,Talleres de Córdoba
Tecnico U.,Técnico Universitario
The Strongest,The Strongest
Tigre,Tigre
Tigres,Tigres FC
Tombense,Tombense
Union de Santa Fe,Union
Union de Santa Fe,Unión
Union Comercio,Union Comercio
U. Espanola,Unión Española
Union La Calera,Unión La Calera
Union Magdalena,Unión Magdalena
U. Catolica,Universidad Católica
Universidad Catolica,Universidad Católica del Ecuador
Universidad Central,Universidad Central
Cesar Vallejo,Universidad César Vallejo
U. De Chile,Universidad de Chile
Cajamarca,Universidad Técnica de Cajamarca
Club Universitario de Deportes,Universitario
Universitario de Vinto,Universitario de Vinto
Vaca Diez,Vaca Díez
Valledupar,Valledupar
