STG,TSDB
Al Ahly,Al Ahly SC
Al Ain,Al Ain
Al-Hilal,Al Hilal
Atletico Madrid,Atletico Madrid
Auckland City,Auckland City
Bayern Munich,Bayern Munich
Benfica,Benfica
Boca Juniors,Boca Juniors
Botafogo RJ,Botafogo
Chelsea,Chelsea
Dortmund,Borussia Dortmund
Esperance Tunis,Espérance de Tunis
FC Porto,FC Porto
Flamengo RJ,Flamengo
Fluminense,Fluminense
Inter,Inter Milan
Inter Miami CF,Inter Miami
Juventus,Juventus
Los Angeles FC,Los Angeles FC
Mamelodi Sundowns,Mamelodi Sundowns
Manchester City,Manchester City
Monterrey,Monterrey
Pachuca,Pachuca
Palmeiras,Palmeiras
Paris Saint Germain,Paris SG
Real Madrid,Real Madrid
River Plate,River Plate
Salzburg,Red Bull Salzburg
Seattle Sounders,Seattle Sounders FC
Ulsan Hyundai,Ulsan HD
Urawa,Urawa Red Diamonds
Wydad,Wydad Casablanca
