STG,TSDB
Accrington,Accrington
AFC Wimbledon,AFC Wimbledon
Aldershot,Aldershot
Altrincham,Altrincham
Arsenal,Arsenal
Arsenal U21,Arsenal U21
Aston Villa,Aston Villa
Aston Villa U21,Aston Villa U21
Barnet,Barnet
Barnsley,Barnsley
Barrow,Barrow
Birmingham,Birmingham
Blackburn,Blackburn
Blackpool,Blackpool
Bolton,Bolton
Boreham Wood,Boreham Wood
Bournemouth,Bournemouth
Bradford,Bradford
Brentford,Brentford
Brighton & Hove Albion,Brighton
Brighton U21,Brighton U21
Bristol City,Bristol City
Bristol Rovers,Bristol Rovers
Bromley,Bromley
Burnley,Burnley
Burton,Burton
Cambridge Utd,Cambridge United
Cardiff,Cardiff
Carlisle,Carlisle
Charlton,Charlton
Chelsea,Chelsea
Chelsea U20,Chelsea U21
Cheltenham,Cheltenham
Chesterfield,Chesterfield
Colchester,Colchester
Coventry,Coventry
Crawley Town,Crawley
Crewe,Crewe
Crystal Palace,Crystal Palace
Crystal Palace U20,Crystal Palace U21
Dagenham & Red.,Dagenham and Redbridge
Derby County,Derby
Doncaster,Doncaster
Dorking,Dorking Wanderers
Eastleigh,Eastleigh
Ebbsfleet,Ebbsfleet United
Everton,Everton
Everton U20,Everton U21
Exeter,Exeter
Fleetwood Town,Fleetwood Town
Forest Green,Forest Green Rovers
Fulham,Fulham
Fulham U21,Fulham U21
Fylde,AFC Fylde
Gateshead,Gateshead FC
Gillingham,Gillingham
Grimsby Town,Grimsby
Halifax,Halifax
Harrogate,Harrogate Town FC
Hartlepool,Hartlepool
Huddersfield,Huddersfield Town
Hull City,Hull
Ipswich,Ipswich
Kidderminster,Kidderminster Harriers
Leeds United,Leeds
Leicester,Leicester
Leicester U21,Leicester U21
Leyton Orient,Leyton Orient
Lincoln,Lincoln
Lincoln City,Lincoln
Liverpool,Liverpool
Liverpool U21,Liverpool U21
Luton,Luton
Maidenhead,Maidenhead United
Maidstone,Maidstone
Manchester City,Manchester City
Manchester City U20,Manchester City U21
Manchester United,Manchester United
Manchester Utd U20,Manchester United U21
Mansfield,Mansfield
Middlesbrough,Middlesbrough
Millwall,Millwall
Milton Keynes Dons,Milton Keynes Dons
Morecambe,Morecambe
Newcastle Utd,Newcastle
Newcastle Utd U21,Newcastle United U21
Newport,Newport
Northampton,Northampton
Norwich City,Norwich
Nottingham,Nottingham Forest
Nottingham U21,Nottingham Forest U21
Notts County,Notts County
Oldham,Oldham
Oxford City,Oxford City
Oxford Utd,Oxford Utd
Peterborough,Peterboro
Plymouth,Plymouth
Port Vale,Port Vale
Portsmouth,Portsmouth
Preston,Preston
QPR,QPR
Reading,Reading
Rochdale,Rochdale
Rotherham,Rotherham
Salford,Salford City
Sheffield United,Sheffield United
Sheffield Wednesday,Sheffield Weds
Shrewsbury,Shrewsbury
Solihull,Solihull Moors
Southampton,Southampton
Southend,Southend
Stevenage,Stevenage
Stockport,Stockport
Stoke City,Stoke
Sunderland,Sunderland
Sutton,Sutton United
Swansea,Swansea
Swindon,Swindon
Tottenham,Tottenham
Tottenham U20,Tottenham U21
Tranmere,Tranmere
Walsall,Walsall
Watford,Watford
Wealdstone,Wealdstone
West Brom,West Brom
West Ham U21,West Ham U21
West Ham United,West Ham
Wigan Athletic,Wigan
Woking,Woking
Wolverhampton Wanderers,Wolves
Wolves U21,Wolves U21
Wrexham,Wrexham
Wycombe,Wycombe
York,York
Tamworth,Tamworth
