STG,TSDB
AC Ajaccio,Ajaccio
Amiens,Amiens
Angers,Angers
Annecy,Annecy
Auxerre,Auxerre
Bastia,Bastia
Bordeaux,Bordeaux
Brest,Brest
Caen,Caen
Clermont,Clermont Foot
Concarneau,Concarneau
Dunkerque,USL Dunkerque
Grenoble,Grenoble
Guingamp,Guingamp
Laval,Laval
Le Havre,Le Havre
Lens,Lens
Lille,Lille
Lorient,Lorient
Lyon,Lyon
Marseille,Marseille
Metz,Metz
Monaco,Monaco
Montpellier,Montpellier
Nantes,Nantes
Nice,Nice
Paris FC,Paris FC
Paris Saint Germain,Paris SG
Pau,Pau FC
Quevilly Rouen,Quevilly
Reims,Stade de Reims
Rennes,Rennes
Rodez,Rodez AF
Sochaux,Sochaux
St Etienne,St Etienne
Strasbourg,Strasbourg
Toulouse,Toulouse
Troyes,Troyes
Valenciennes,Valenciennes
