STG,TSDB
Aalen,Aalen
Altglienicke,VSG Altglienicke
Arminia Bielefeld,Arminia Bielefeld
Aue,Erzgebirge Aue
Augsburg,FC Augsburg
Babelsberg,SV Babelsberg
Bahlinger,Bahlinger SC
Balingen,TSG Balingen
Bayer Leverkusen,Bayer Leverkusen
Bayern Munich,Bayern Munich
Berliner AK 07,Berliner AK 07
Bersenbruck,Bersenbrück
BFC Dynamo,Berliner FC Dynamo
Bochum,Bochum
Borussia Monchengladbach,Borussia Mönchengladbach
Braunschweig,Eintracht Braunschweig
Chemie Leipzig,Chemie Leipzig
Chemnitzer,Chemnitzer FC
Darmstadt,Darmstadt
Delmenhorst,Atlas Delmenhorst
Dortmund,Dortmund
Dortmund,Borussia Dortmund
Dortmund II,Borussia Dortmund II
Duisburg,Duisburg
Dusseldorf,Fortuna Düsseldorf
Eilenburg,FC Eilenburg
Eintracht Frankfurt,Eintracht Frankfurt
Eintracht Frankfurt II,Eintracht Frankfurt II
Elversberg,Elversberg
Energie Cottbus,Cottbus
Erfurt,Rot-Weiß Erfurt
FC 08 Homburg,FC Homburg
FC Koln,FC Köln
Freiberg,SGV Freiberg
Freiburg,Freiburg
Freiburg II,Freiburg II
FSV Frankfurt,FSV Frankfurt
Greifswald,Greifswalder FC
Greuther Furth,Greuther Fürth
Gutersloh,FC Gütersloh
Hallescher,Hallescher FC
Hamburger SV,Hamburg
Hannover,Hannover
Hansa Rostock,Hansa Rostock
Hansa Rostock II,Hansa Rostock II
Heidenheim,FC Heidenheim
Hertha Berlin,Hertha
Hertha Berlin II,Hertha II
Hoffenheim,Hoffenheim
Hoffenheim II,Hoffenheim II
Holstein Kiel,Holstein Kiel
Illertissen,FV Illertissen
Ingolstadt,Ingolstadt
Jena,Carl Zeiss Jena
Kaiserslautern,Kaiserslautern
Karlsruher,Karlsruhe
Kassel,Hessen Kassel
Kickers Offenbach,Kickers Offenbach
Lehnerz,Barockstadt Fulda-Lehnerz
Lokomotive Leipzig,Lokomotive Leipzig
Lubeck,Lübeck
Luckenwalde,Luckenwalde
Magdeburg,Magdeburg
Mainz,Mainz
Mainz II,Mainz II
Mannheim,Waldhof Mannheim
Meuselwitz,ZFC Meuselwitz
Munich 1860,1860 Munich
Nurnberg,FC Nürnberg
Oberachern,Oberachern
Oberneuland,Oberneuland
Paderborn,Paderborn
Preussen Munster,Preußen Münster
RB Leipzig,RB Leipzig
Regensburg,Jahn Regensburg
Rostocker FC,Rostocker FC
RW Essen,Rot-Weiss Essen
Saarbrucken,FC Saarbrücken
Sandhausen,Sandhausen
Schalke,Schalke 04
Schott Mainz,Schott Mainz
SG Dynamo Dresden,Dynamo Dresden
St. Pauli,St Pauli
Stutt. Kickers,Stuttgarter Kickers
Stuttgart II,Stuttgart II
Teutonia Ottensen,Teutonia Ottensen
TSV Steinbach,TSV Steinbach Haiger
TuS Koblenz,TuS Koblenz
TuS Makkabi Berlin,Makkabi Berlin
TuS RW Koblenz,Rot-Weiß Koblenz
Ulm,SSV Ulm
Union Berlin,Union Berlin
Unterhaching,Unterhaching
Verl,SC Verl
VfB Stuttgart,Stuttgart
VfL Osnabruck,VfL Osnabrück
Viktoria Berlin,Viktoria Berlin
Viktoria Koln,Viktoria Köln
Walldorf,Astoria Walldorf
Wehen,Wehen Wiesbaden
Werder Bremen,Werder Bremen
Wolfsburg,Wolfsburg
Zwickau,Zwickau
