STG,TSDB
Asian Cup,AFC Asian Cup
2023 AFC Asian Cup,AFC Asian Cup
Africa Cup of Nations,African Cup of Nations
Africa Cup of Nations 2024,African Cup of Nations
Gold Cup,CONCACAF Gold Cup
CONCACAF Nations League,CONCACAF Nations League
World Cup Qatar 2022,FIFA World Cup
CONMEBOL Qualification,FIFA World Cup
World Cup Qualifiers - Africa,FIFA World Cup
World Cup Qualifiers - Asia,FIFA World Cup
World Cup Qualifiers - UEFA,FIFA World Cup
Concacaf WC Qualifiers,FIFA World Cup
Friendly International,International Friendlies
UEFA Euro 2024,UEFA European Championships
UEFA Nations League A,UEFA Nations League
UEFA Nations League B,UEFA Nations League
UEFA Nations League C,UEFA Nations League
UEFA Nations League D,UEFA Nations League
Copa América,Copa America
COSAFA Cup,COSAFA Cup
Olympic Games 2024,Olympics Soccer
Euro U21,UEFA European Under-21 Championship
