date,time,sport,channel,comp,ht,at
2025-06-11,12:50PM,Football,SuperSport La Liga,COSAFA Cup,Eswatini,Tanzania
2025-06-11,7:00PM,Football,Pro TV Romania,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,Sport 2 IL,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,Sport TV 2,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:55PM,Football,Teledeporte,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,7:00PM,Football,UEFA TV,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,V Sport Premium,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,7:00PM,Football,VG+ NO,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,Viaplay DK,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,Viaplay SE,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,7:00PM,Football,VOYO,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,Ziggo Sport 2,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,7:00PM,Football,TOD KSA,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,BeIN Sports French 2 Qatar,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,7:00PM,Football,BeIn Sports HD 2 France,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,ESPN El Salvador,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,ESPN Guatemala,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,ESPN Honduras,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,ESPN Mexico,UEFA European Under-21 Championship,Italy U21,Romania U21
2025-06-11,6:50PM,Football,ESPN Nicaragua,UEFA European Under-21 Championship,Italy U21,Romania U21
