STG,TSDB
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bolivia,Bolivia
Bonaire,Bonaire
Bosnia & Herzegovina,Bosnia-Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Cayman Islands,Cayman Islands
Central Africa,Central African Republic
Chile,Chile
China,China
Chinese Taipei,Chinese Taipei
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Curacao,Curaçao
Cyprus,Cyprus
Czech Republic,Czech Republic
D.R. Congo,DR Congo
Denmark,Denmark
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
England,England
Equatorial Guinea,Equatorial Guinea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Faroe Islands,Faroe Islands
Finland,Finland
France,France
French Guiana,French Guiana
FYR Macedonia,North Macedonia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guinea,Guinea
Guinea Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Moldova,Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Northern Ireland,N.Ireland
Norway,Norway
Oman,Oman
Palestine,Palestine
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Saint Kitts and Nevis,St Kitts and Nevis
Saint Lucia,St Lucia
Saint Martin,St Martin
Saint Vincent and the Grenadines,St Vincent and the Grenadines
San Marino,San Marino
Sao Tome and Principe,São Tomé and Príncipe
Saudi Arabia,Saudi Arabia
Scotland,Scotland
Senegal,Senegal
Serbia,Serbia
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten,St Maarten
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Togo,Togo
Trinidad & Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United States Virgin Islands,US Virgin Islands
Uruguay,Uruguay
USA,USA
Uzbekistan,Uzbekistan
Venezuela,Venezuela
Vietnam,Vietnam
Wales,Wales
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
Argentina [Ol],Argentina U23
Dominican Republic [Ol],Dominican Republic U23
Egypt [Ol],Egypt U23
France [Ol],France U23
Guinea Ol.,Guinea U23
Iraq [Ol],Iraq U23
Israel [Ol],Israel U23
Japan [Ol],Japan U23
Mali [Ol],Mali U23
Morocco [Ol],Morocco U23
New Zealand [Ol],New Zealand U23
Paraguay [Ol],Paraguay U23
Spain [Ol],Spain U23
Ukraine [Ol],Ukraine U23
USA [Ol],USA U23
Uzbekistan [Ol],Uzbekistan U23
New Zealand [Ol],New Zealand U23
Czech Republic U21,Czech Republic U21
Denmark U21,Denmark U21
England U21,England U21
Finland U21,Finland U21
France U21,France U21
Georgia U21,Georgia U21
Germany U21,Germany U21
Italy U21,Italy U21
Netherlands U21,Netherlands U21
Poland U21,Poland U21
Portugal U21,Portugal U21
Romania U21,Romania U21
Slovakia U21,Slovakia U21
Slovenia U21,Slovenia U21
Spain U21,Spain U21
Ukraine U21,Ukraine U21
