STG,TSDB
AC Milan,AC Milan
AS Roma,Roma
Ascoli,Ascoli
Atalanta,Atalanta
Bari,Bari
Bologna,Bologna
Cagliari,Cagliari
Catanzaro,Catanzaro
Cittadella,Cittadella
Como,Como
Cosenza,Cosenza
Cremonese,Cremonese
Empoli,Empoli
FeralpiSalo,Feralpisalò
Fiorentina,Fiorentina
Frosinone,Frosinone
Genoa,Genoa
Inter,Inter Milan
Juventus,Juventus
Lazio,Lazio
Lecce,Lecce
Lecco,Lecco
Modena,Modena
Monza,Monza
Napoli,Napoli
Palermo,Palermo
Parma,Parma Calcio 1913
Pisa,Pisa
Reggiana,Reggio Audace
Salernitana,Salernitana
Sampdoria,Sampdoria
Sassuolo,Sassuolo
Spezia,Spezia
Sudtirol,Sudtirol
Ternana,Ternana
Torino,Torino
Udinese,Udinese
Venezia,Venezia
Verona,Verona
