date,time,sport,channel,comp,ht,at
2025-06-15,5:00PM,Football,Arena Sport 3 Premium RS,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,Arena Sport 5 HR,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:53PM,Football,Bein Sports 3 Australia,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:55PM,Football,C More Sport 2 FI,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,DAZN Austria,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,DAZN Germany,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,DAZN Spain,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,Eleven Sports 2 Portugal,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:50PM,Football,ESPN +,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:55PM,Football,ESPN Brasil,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:50PM,Football,Go3 Sport 2 LV,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,LaLiga TV BAR,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,LaLiga TV Hypermotion,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,MAX Sport 4 BG,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:55PM,Football,Nova Sport 4 CZ,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,Novasports Prime,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:55PM,Football,SuperSport Football,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:55PM,Football,TV 2 Play,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,5:00PM,Football,Vidio.com,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-15,4:55PM,Football,Ziggo Sport 2,Spanish La Liga 2,Mirandes,Real Oviedo
2025-06-21,7:00PM,Football,Arena Sport 2 SI,Spanish La Liga 2,Real Oviedo,Mirandes
2025-06-21,6:55PM,Football,C More Sport 2 FI,Spanish La Liga 2,Real Oviedo,Mirandes
2025-06-21,7:00PM,Football,LaLiga TV UK,Spanish La Liga 2,Real Oviedo,Mirandes
2025-06-21,6:55PM,Football,Nova Sport 4 CZ,Spanish La Liga 2,Real Oviedo,Mirandes
2025-06-21,7:00PM,Football,Premier Sports 2 IE,Spanish La Liga 2,Real Oviedo,Mirandes
2025-06-21,7:00PM,Football,Viaplay Sports 2 UK,Spanish La Liga 2,Real Oviedo,Mirandes
2025-06-21,6:55PM,Football,SuperSport Football,Spanish La Liga 2,Real Oviedo,Mirandes
2025-06-21,7:00PM,Football,Vidio.com,Spanish La Liga 2,Real Oviedo,Mirandes
