STG,TSDB
Alaves,Alaves
Albacete,Albacete
Alcorcon,Alcorcon
Almeria,Almeria
Amorebieta,SD Amorebieta
Andorra,FC Andorra
Athletic Bilbao,Athletic Bilbao
Atletico Madrid,Atletico Madrid
Barcelona,Barcelona
Burgos,Burgos
Cadiz CF,Cadiz
Cartagena,Cartagena FC
Celta Vigo,Celta Vigo
Eibar,Eibar
Elche,Elche
Eldense,Eldense
Espanyol,Espanyol
Ferrol,Racing Club de Ferrol
Getafe,Getafe
Girona,Girona
Granada CF,Granada
Huesca,Huesca
Las Palmas,Las Palmas
Leganes,Leganes
Levante,Levante
Lugo,Lugo
Malaga,Malaga
Mallorca,Mallorca
Mirandes,Mirandes
Osasuna,Osasuna
Ponferradina,Ponferradina
Rayo Vallecano,Vallecano
Real Betis,Real Betis
Real Madrid,Real Madrid
Real Oviedo,Real Oviedo
Real Sociedad,Real Sociedad
Santander,Santander
Sevilla,Sevilla
Sporting Gijón,Sp Gijon
Tenerife,Tenerife
UD Ibiza-Eivissa,UD Ibiza
Valencia,Valencia
Valladolid,Valladolid
Villarreal,Villarreal
Villarreal B,Villarreal B
Zaragoza,Zaragoza
Ceuta,AD Ceuta FC
Alcoyano,Alcoyano
Algeciras,Algeciras CF
Antequera,Antequera
Arenteiro,Arenteiro
Baleares,Atlético Baleares
Atl. Madrid B,Atlético Madrid B
Sanluqueno,Atlético Sanluqueño
Barcelona B,Barcelona Atlètic
Castellon,Castellón
Teruel,CD Teruel
Celta Vigo B,Celta Fortuna
CF Intercity,CF Intercity
Cordoba,Cordoba
Cornella,Cornellà
Fuenlabrada,Fuenlabrada
Gimnastic,Gimnastic
Deportivo La Coruna,La Coruna
Leonesa,Leonesa
Linares,Linares Deportivo
Melilla,Melilla
Merida AD,Mérida AD
Murcia,Murcia
Osasuna B,Osasuna B
Rayo Majadahonda,Rayo Majadahonda
Real Madrid B,Real Madrid Castilla
R. Sociedad B,Real Sociedad B
Real Union,Real Unión
Recreativo Huelva,Recreativo
Granada CF B,Recreativo Granada
Sabadell,Sabadell
San Fernando,San Fernando CD
SD Logrones,SD Logroñés
Sestao,Sestao
Tarazona,Tarazona
Unionistas,Unionistas de Salamanca
