STG,TSDB
AFC Hermannstadt,FC Hermannstadt
CFR Cluj,CFR Cluj-Napoca
CS U. Craiova,Universitatea Craiova
Dinamo Bucuresti,Dinamo Bucuresti
Farul Constanta,Farul Constanta
FC Botosani,FC Botoșani
FC Rapid Bucuresti,Rapid Bucuresti
FC Steaua Bucuresti,Steaua Bucuresti
FC U Craiova,FC U Craiova 1948
Otelul,Otelul Galati
Petrolul,Petrolul
Poli Iasi,Politehnica Iași
Sepsi,Sepsi OSK Sfântu Gheorghe
Universitatea Cluj,Universitatea Cluj
UTA Arad,Uta Arad
Voluntari,FC Voluntari
Brno,Zbrojovka Brno
Chrudim,Chrudim
Dukla Prague,Dukla Praha
Jihlava,Vysočina Jihlava
Kromeriz,Hanácká Slavia
Lisen,Líšeň
Mas Taborsko,Táborsko
Opava,SFC Opava
Pribram,Pribram
Prostejov,Prostějov
Sigma Olomouc B,Sigma Olomouc B
Sparta Prague B,Sparta Prague B
Varnsdorf,Varnsdorf
Vlasim,Vlašim
Vyskov,Vyškov
Zizkov,Viktoria Žižkov
Ostrava,Banik Ostrava
Bohemians 1905,Bohemians 1905
Ceske Budejovice,Dynamo České Budějovice
Hradec Kralove,Hradec Králové
Jablonec,Jablonec
Karvina,Karvina
Liberec,Liberec
Mlada Boleslav,Mlada Boleslav
FK Pardubice,Pardubice
Sigma Olomouc,Sigma Olomouc
Slavia Prague,Slavia Prague
Slovacko,Slovacko
Sparta Prague,Sparta Prague
Teplice,Teplice
Plzen,Viktoria Plzen
Zlin,Zlín
Arda,Arda Kardzhali
Beroe,Beroe
Botev Plovdiv,Botev Plovdiv
Botev Vratsa,Botev Vratsa
Cherno More,Cherno More
CSKA 1948 Sofia,CSKA 1948
CSKA Sofia,CSKA Sofia
Etar,Etar Veliko Tarnovo
Hebar,Hebar Pazardzhik
Levski,Levski Sofia
Levski Krumovgrad,Krumovgrad
Lok. Sofia,Lokomotiv Sofia
Lokomotiv Plovdiv,Lokomotiv Plovdiv
Ludogorets,Ludogorets Razgrad
Pirin Blagoevgrad,Pirin Blagoevgrad
Slavia Sofia,Slavia Sofia
Aalesund,Aalesund
Bodo/Glimt,Bodoe/Glimt
Brann,Brann
Ham-Kam,Hamarkameratene
Haugesund,FK Haugesund
Lillestrom,Lillestroem
Molde,Molde
Odd,Odd Ballklubb
Rosenborg,Rosenborg
Sandefjord,Sandefjord
Sarpsborg 08,Sarpsborg 08
Stabaek,Stabaek
Stromsgodset,Stroemsgodset
Tromso,Tromso
Valerenga,Vaalerenga
Viking,Viking
Aarhus,AGF Aarhus
Brondby,Brøndby
FC Copenhagen,FC Copenhagen
Hvidovre,Hvidovre IF
Lyngby,Lyngby
Midtjylland,FC Midtjylland
Nordsjaelland,FC Nordsjælland
Odense,Odense BK
Randers FC,Randers FC
Silkeborg,Silkeborg IF
Vejle,Vejle Boldklub
Viborg,Viborg
AIK,AIK
Brommapojkarna,Brommapojkarna
Degerfors,Degerfors
Djurgarden,Djurgaarden
Elfsborg,Elfsborg
Goteborg,IFK Gothenburg
Hacken,Hacken
Halmstad,Halmstad
Hammarby,Hammarby
Kalmar,Kalmar FF
Malmo FF,Malmo FF
Mjallby,Mjallby
Norrkoping,Norrkoping
Sirius,Sirius
Varbergs,Varbergs BoIS FC
Varnamo,IFK Varnamo
Banga,Banga Gargždai
Dainava Alytus,Dainava
Dziugas Telsiai,Džiugas Telšiai
FK Panevezys,FK Panevėžys
Hegelmann Litauen,Hegelmann Litauen
Kauno Zalgiris,Kauno Žalgiris
Siauliai FA,FA Šiauliai
Suduva,FK Suduva
Trakai,FK Riteriai
Zalgiris,VMFD Zalgiris
Cracovia,Cracovia Krakow
Gornik Zabrze,Gornik Zabrze
Jagiellonia,Jagiellonia Bialystok
Korona Kielce,Korona Kielce
Lech Poznan,Lech Poznan
Legia,Legia Warsaw
LKS Lodz,LKS Lodz
Piast Gliwice,Piast Gliwice
Pogon Szczecin,Pogon Szczecin
Puszcza,Puszcza Niepołomice
Radomiak Radom,Radomiak Radom
Rakow,Rakow Czestochowa
Ruch,Ruch Chorzow
Slask Wroclaw,Slask Wroclaw
Stal Mielec,Stal Mielec
Warta Poznan,Warta Poznań
Widzew Lodz,Widzew Lodz
Zaglebie,Zaglebie Lubin
Arka Gdynia,Arka Gdynia
Chrobry Glogow,Chrobry Głogów
GKS Katowice,GKS Katowice
Leczna,Gornik Leczna
Lechia Gdansk,Lechia Gdańsk
Legnica,Miedz Legnica
Lublin,Motor Lublin
Termalica B-B.,Nieciecza
Odra Opole,Odra Opole
Podbeskidzie,Podbeskidzie Bielsko-Biala
Polonia Warszawa,Polonia Warsaw
R. Rzeszow,Resovia Rzeszów
S. Rzeszow,Stal Rzeszów
Tychy,Tychy 71
Wisla,Wisla Krakow
Plock,Wisla Plock
Zaglebie Sosnowiec,Zaglebie Sosnowiec
Pruszkow,Znicz Pruszków
Breidablik,Breidablik
Fram,Fram Reykjavik
Fylkir,Fylkir
Hafnarfjordur,FH Hafnarfjordur
KA Akureyri,KA
Keflavik,Keflavík
Kopavogur,HK
KR Reykjavik,KR Reykjavik
Stjarnan,Stjarnan
Valur,Valur
Vestmannaeyjar,Vestmannaeyjar
Vikingur Reykjavik,Víkingur Reykjavik
Amadora,Estrela Amadora
Arouca,Arouca
Benfica,Benfica
Boavista,Boavista
Braga,Braga
Casa Pia,Casa Pia
Chaves,Chaves
Estoril,Estoril-Praia
Famalicao,Famalicao
FC Porto,FC Porto
Gil Vicente,Gil Vicente
Guimaraes,Guimaraes
Moreirense,Moreirense
Portimonense,Portimonense
Rio Ave,Rio Ave
SC Farense,SC Farense
Sporting,Sporting CP
Vizela,Vizela
Anderlecht,Anderlecht
Antwerp,Antwerp
Cercle Brugge KSV,Cercle Brugge
Charleroi,Charleroi
Club Brugge KV,Club Brugge
Eupen,Eupen
Genk,Genk
Gent,Gent
Kortrijk,Kortrijk
KV Mechelen,Mechelen
Leuven,Oud-Heverlee Leuven
RWDM 47,Molenbeek
St. Gilloise,St. Gilloise
St. Truiden,St.Truiden
Standard Liege,Standard
Westerlo,Westerlo
Ajax,Ajax
Almere City,Almere City FC
AZ Alkmaar,AZ Alkmaar
Excelsior,Excelsior
FC Volendam,FC Volendam
Feyenoord,Feyenoord
Go Ahead Eagles,Go Ahead Eagles
Heerenveen,SC Heerenveen
Heracles,SC Heracles Almelo
Nijmegen,NEC Nijmegen
PSV,PSV Eindhoven
Sittard,Fortuna Sittard
Sparta Rotterdam,Sparta
Twente,FC Twente
Utrecht,FC Utrecht
Vitesse,Vitesse
Waalwijk,RKC Waalwijk
Zwolle,PEC Zwolle
Aarau,FC Aarau
Baden,Baden
Bellinzona,Bellinzona
Schaffhausen,Schaffhausen
Sion,FC Sion
Stade Nyonnais,Stade Nyonnais
Thun,Thun
Vaduz,Vaduz
Wil,FC Wil
Xamax,Neuchâtel Xamax
Basel,FC Basel
Grasshoppers,Grasshoppers
Lausanne,FC Lausanne-Sport
Lausanne Ouchy,Stade Lausanne Ouchy
Lugano,Lugano
Luzern,Lucerne
Servette Geneve FC,Servette
St. Gallen,St. Gallen
Winterthur,FC Winterthur
Young Boys,Young Boys
Yverdon,Yverdon Sport
Zurich,Zurich
A. Klagenfurt,Austria Klagenfurt
Altach,SC Rheindorf Altach
Austria Lustenau,Austria Lustenau
Austria Vienna,Austria Vienna
Blau-Weiß Linz,FC BW Linz
Hartberg,TSV Hartberg
LASK Linz,LASK
Rapid Vienna,Rapid Vienna
Salzburg,SV Salzburg
Sturm Graz,Sturm Graz
Wolfsberger AC,Wolfsberger AC
WSG Swarovski Tirol,WSG Swarovski Tirol
Debrecen,Debrecen
DVTK,Diosgyor
Ferencvaros,Ferencvaros
Kecskemeti TE,Kecskeméti TE
Kisvarda,Kisvárda FC
Mezokovesd-Zsory,Mezőkövesdi SE
MTK Budapest,MTK Hungaria
Paks,Paksi FC
Puskas Academy,Puskás Akadémia FC
Ujpest,Újpest FC
Feherver FC,Videoton FC Fehervar
Zalaegerszegi,Zalaegerszegi TE
Dinamo Zagreb,Dinamo Zagreb
Hajduk Split,Hajduk Split
HNK Gorica,HNK Gorica
