date,time,sport,channel,comp,ht,at
2025-06-15,8:00PM,Football,CBS,American NWSL,Portland Thorns,Washington Spirit
2025-06-15,7:50PM,Football,ESPN 3 Netherlands,American NWSL,Portland Thorns,Washington Spirit
2025-06-15,8:00PM,Football,FuboTV,American NWSL,Portland Thorns,Washington Spirit
2025-06-15,8:00PM,Football,Optus Sport,American NWSL,Portland Thorns,Washington Spirit
2025-06-15,8:00PM,Football,Paramount+ US,American NWSL,Portland Thorns,Washington Spirit
2025-06-15,8:00PM,Football,TNT Sports 1,American NWSL,Portland Thorns,Washington Spirit
2025-06-16,5:00PM,Football,TV 6 Sverige,Sweden Damallsvenskan,Hammarby Women,Djurgården Women
2025-06-16,4:55PM,Football,Viaplay IS,Sweden Damallsvenskan,Hammarby Women,Djurgården Women
2025-06-16,4:55PM,Football,Viaplay NL,Sweden Damallsvenskan,Hammarby Women,Djurgården Women
2025-06-16,4:55PM,Football,Viaplay PL,Sweden Damallsvenskan,Hammarby Women,Djurgården Women
2025-06-21,12:00AM,Football,Amazon Prime Video US,American NWSL,Kansas City Current,Angel City
2025-06-21,12:00AM,Football,Optus Sport,American NWSL,Kansas City Current,Angel City
2025-06-21,8:50PM,Football,ESPN 3 Netherlands,American NWSL,Utah Royals,Seattle Reign
2025-06-21,9:00PM,Football,Paramount+ US,American NWSL,Utah Royals,Seattle Reign
2025-06-26,4:00PM,Football,RTS Sport,International Friendlies Women,Switzerland Women,Czech Republic Women
