STG,TSDB
Athletic Bilbao W,Athletic Club Women
Atletico Madrid W,Atlético Madrid Femenino
Barcelona W,Barcelona Femení
Betis W,Betis Féminas
Eibar W,Eibar Women
Espanyol W,Espanyol Femení
Granada W,Granada Femenino
Huelva W,Sporting de Huelva
Las Planas W,Levante Badalona
Levante W,Levante Women
Madrid C. W,Madrid CFF
Real Madrid W,Real Madrid Femenino
Real Sociedad W,Real Sociedad Femenino
Sevilla FC W,Sevilla Women
Tenerife W,Granadilla
Valencia W,Valencia Femenino
Villarreal W,Villarreal Women
Dep. La Coruna W,Deportivo de La Coruña Women
AC Milan W,AC Milan Women
Como W,Como Women
Fiorentina W,Fiorentina Women
Inter W,Inter Milano Women
Juventus W,Juventus Women
Napoli W,Napoli Women
Pomigliano W,Pomigliano Women
AS Roma W,Roma Women
Sampdoria W,Sampdoria Women
Sassuolo W,Sassuolo Women
1.FC Nurnberg W,1. FC Nürnberg Women
Hoffenheim W,1899 Hoffenheim Women
Bayer Leverkusen W,Bayer Leverkusen Women
Bayern Munich W,Bayern Munich Women
Eintracht Frankfurt W,Eintracht Frankfurt Women
Koln W,FC Koln Women
Duisburg W,MSV Duisburg Women
RB Leipzig W,RB Leipzig Women
Freiburg W,SC Freiburg Women
SGS Essen W,SGS Essen Women
Wolfsburg W,VfL Wolfsburg Women
Werder Bremen W,Werder Bremen Women
Erfurt W,1. FFV Erfurt
Arminia Bielefeld W,Arminia Bielefeld Women
Barmke W,Barmke Women
Bochum W,Bochum Women
Borussia Bocholt W,Borussia Bocholt Women
Buntentor W,Buntentor Women
Jena W,Carl Zeiss Jena Women
Chemnitzer W,Chemnitzer FC Women
Elversberg W,Elversberg Women
Fortuna Koln W,Fortuna Köln Women
Gutersloh W,FSV Gütersloh 2009 Women
Brieselang W,Grün-Weiß Brieselang Women
Hamburger SV W,Hamburg Women
Hegauer W,Hegauer Women
SV Hegnach W,Hegnach Women
Holstein Kiel W,Holstein Kiel Women
Ingolstadt W,Ingolstadt Women
Calden W,Jahn Calden Women
Karlsruher W,Karlsruhe Women
Offenbach W,Kickers Offenbach Women
Magdeburger W,Magdeburger FFC
Schott Mainz W,Mainz Women
Meppen W,Meppen Women
B. Monchengladbach W,Mönchengladbach Women
Montabaur W,Montabaur Women
Riegelsberg W,Riegelsberg Women
Rostocker FC W,Rostocker FC Women
Sand W,SC Sand Women
Andernach W,SG Andernach Women
St. Pauli W,St Pauli Women
SFC Stern 1900 W,Stern Women
Weinberg W,SV 67 Weinberg Women
Henstedt-Ulzburg W,SV Henstedt-Ulzburg Women
Potsdam W,Turbine Potsdam Women
Viktoria Berlin W,Viktoria Berlin Women
Wacker Munchen W,Wacker München Women
Bordeaux W,Bordeaux Women
Dijon W,Dijon Women
Fleury 91 W,FC Fleury 91 Women
Guingamp W,Guingamp Women
Le Havre W,Le Havre Women
Lille W,Lille Women
Lyon W,Lyon Women
Montpellier W,Montpellier Women
Paris FC W,Paris FC Women
Paris SG W,Paris Saint Germain Women
St Etienne W,Saint-Étienne Women
Reims W,Stade de Reims Women
Arsenal W,Arsenal WFC
Aston Villa W,Aston Villa WFC
Brighton W,Brighton WFC
Bristol City W,Bristol City WFC
Chelsea W,Chelsea Women
Everton W,Everton FC Women
Leicester W,Leicester City WFC
Liverpool W,Liverpool FC Women
Manchester City W,Manchester City WFC
Manchester United W,Manchester United WFC
Tottenham W,Tottenham Women
West Ham W,West Ham Women
Birmingham W,Birmingham City WFC
Blackburn W,Blackburn Rovers LFC
Charlton W,Charlton Athletic WFC
Crystal Palace W,Crystal Palace FC Women
Durham W,Durham WFC
Lewes W,Lewes FC Women
London City Lionesses W,London City Lionesses
Reading W,Reading Women
Sheffield Utd W,Sheffield United WFC
Southampton W,Southampton F.C. Women
Sunderland W,Sunderland Women
Watford W,Watford Women
AZ Alkmaar W,AZ Vrouwen
Den Haag W,ADO Den Haag Women
Ajax W,Ajax Women
Excelsior W,Excelsior Women
Feyenoord W,Feyenoord Women
Sittard W,Fortuna Sittard Women
Heerenveen W,Heerenveen Women
PEC Zwolle W,PEC Zwolle Women
PSV W,PSV Eindhoven Women
Telstar W,Telstar Women
Twente W,Twente Women
Utrecht W,Utrecht Women
Aalborg W,AaB Women
Aarhus W,AGF Women
Brondby W,Brøndby Women
Farum BK W,Nordsjælland Women
Fortuna Hjorring W,Fortuna Hjørring
Koge W,Køge Women
KoldingQ W,KoldingQ
Thisted FC W,Thy ThistedQ
Hacken W,BK Häcken Women
IF Brommapojkarna W,Brommapojkarna Women
Djurgarden W,Djurgården Women
Hammarby W,Hammarby Women
Kalmar W,Kalmar Women
Orebro W,KIF Örebro
Kristianstads W,Kristianstad Women
Linkopings W,Linköping Women
Norrkoping W,Norrköping Women
Pitea W,Piteå Women
Rosengard W,Rosengård Women
Uppsala W,Uppsala Women
Vaxjo DFF W,Växjö
Vittsjo W,Vittsjö
Agarista-SS Anenii Noi W,Anenii Noi Women
Apollon Limassol W,Apollon Limassol Women
Birkirkara W,Birkirkara Women
Brann W,Brann Women
Breznica W,Breznica Women
Celtic W,Celtic Women
Din. Minsk W,Dinamo-BGU Women
