STG,TSDB
AC Milan U19,Milan Youth
Antwerp U19,Antwerp Youth
Arsenal U19,Arsenal Youth
Atl. Madrid U19,Atlético Madrid Juvenil
AZ Alkmaar U19,AZ Alkmaar Youth
Barcelona U19,Barcelona Youth
Basaksehir U19,İstanbul Başakşehir Youth
Basel U1,FC Basel Youth
Bayern U19,Bayern Munich Youth
Benfica U19,Benfica Youth
Braga U19,Braga Youth
Celtic U19,Celtic Youth
Crvena zvezda U19,Crvena Zvezda Youth
Din. Minsk U19,Dinamo Minsk Youth
Dinamo Zagreb U19,Dinamo Zagreb Youth
Dortmund U19,Dortmund Youth
Famalicao U19,Famalicão Youth
FC Copenhagen U19,FC Copenhagen Youth
FC Porto U19,FC Porto Juniors
Feyenoord U19,Feyenoord Academy
FK Sarajevo U19,FK Sarajevo Youth
Gabala U19,Gabala Youth
Galatasaray U19,Galatasaray Youth
Gent U19,Gent Youth
Hamilton U19,Hamilton Youth
HJK U19,HJK Helsinki Youth
Inter U19,Inter Youth
Klaipedos FM U19,Klaipėdos Atlantas Youth
Lazio U19,Lazio Youth
Lecce U19,Lecce Youth
Lech Poznan U19,Lech Poznań Youth
Lens U19,Lens Youth
Ludogorets U19,Ludogorets Razgrad Youth
Maccabi Haifa U19,Maccabi Haifa Youth
Mainz U19,Mainz Youth
Malmo FF U19,Malmo FF Youth
Manchester City U19,Manchester City Youth
Manchester United U19,Manchester United Youth
Maribor U19,NK Maribor Youth
Midtjylland U19,FC Midtjylland Youth
Molde U19,Molde Youth
Nantes U19,Nantes Youth
Napoli U19,Napoli Primavera
Newcastle Utd U19,Newcastle United Youth
Olympiakos Piraeus U19,Olympiacos Youth
Paphos U19,Pafos FC Youth
Paris SG U19,Paris Saint-Germain Academy
Partizan U19,Partizan Belgrade Youth
PSV U19,PSV Eindhoven Youth
Puskas Akademia U19,Puskás Akadémia FC Youth
RB Leipzig U19,RB Leipzig Youth
Real Madrid U19,Real Madrid Juvenil
Real Sociedad U19,Real Sociedad Juvenil
Rukh Lviv U19,Rukh Lviv Youth
Salzburg U19,Salzburg Youth
Sevilla FC U19,Sevilla Juvenil
Shakhtar Donetsk U19,Shakhtar Donetsk Youth
Sheriff Tiraspol U19,Sheriff Tiraspol Youth
Sparta Prague U19,Sparta Prague Youth
Turan U19,Turan Youth
Union Berlin U19,Union Berlin Youth
Univ. Craiova U19,U Craiova Youth
Young Boys U19,Young Boys Youth
Zilina U19,MŠK Žilina Youth
