date,time,sport,channel,comp,ht,at
2025-06-14,4:00PM,Handball,Sport 1 Czechia,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,3:30PM,Handball,Sport 1 Hungary,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,3:50PM,Handball,Sport 1 IL,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,Sport 1 LT,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,Sport TV 3,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,3:45PM,Handball,TV 2 Sport 2,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,TV3 MAX Danmark,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,3:55PM,Handball,Ziggo Sport 5,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,Arena Sport 1 HR,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,Arena Sport 1 Premium RS,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,Arena Sport 1 SI,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,3:50PM,Handball,DAZN 2 Spain,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,DAZN Austria,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,DAZN Germany,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,DAZN Switzerland,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,4:00PM,Handball,DR 1,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,3:50PM,Handball,Eurosport 2 Poland,EHF Champions League,FC Barcelona Handbol,SC Magdeburg
2025-06-14,1:00PM,Handball,Sport 1 Czechia,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,12:45PM,Handball,Sport 1 Hungary,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,12:50PM,Handball,Sport 1 IL,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,Sport 1 LT,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,Sport TV 3,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,12:45PM,Handball,TV 2 Sport 2,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,TV3 MAX Danmark,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,12:55PM,Handball,Ziggo Sport 5,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,Arena Sport 1 HR,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,Arena Sport 1 Premium RS,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,Arena Sport 1 SI,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,12:50PM,Handball,DAZN 2 Spain,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,DAZN Austria,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,DAZN Canada,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,DAZN Germany,EHF Champions League,Füchse Berlin,HBC Nantes
2025-06-14,1:00PM,Handball,DAZN Switzerland,EHF Champions League,Füchse Berlin,HBC Nantes
