STG,TSDB
Argentina,Argentina Handball
Austria,Austria Handball
Belarus,Belarus Handball
Bosnia & Herzegovina,Bosnia and Herzegovina Handball
Croatia,Croatia Handball
Czech Republic,Czech Republic Handball
Denmark,Denmark Handball
Egypt,Egypt Handball
France,France Handball
Germany,Germany Handball
Hungary,Hungary Handball
Iceland,Iceland Hndball
Japan,Japan Handball
Lithuania,Lithuania Handball
Montenegro,Montenegro Handball
Netherlands,Netherlands Handball
FYR Macedonia,North Macedonia
Norway,Norway Handball
Poland,Poland Handball
Portugal,Portugal Handball
Russia,Russia Handball
Serbia,Serbia Handball
Slovakia,Slovakia Handball
Slovenia,Slovenia Handball
Spain,Spain Handball
Sweden,Sweden Handball
Ukraine,Ukraine Handball
Guinea,Guinea Handball
Bahrain,Bahrain Handball
Kuwait,Kuwait Handball
Cape Verde,Cape Verde Handball
Algeria,Algeria Handball
Brazil,Brazil Handball
Chile,Chile Handball
Cuba,Cuba Handball
Iceland,Iceland Handball
Italy,Italy Handball
Qatar,Qatar Handball
Switzerland,Switzerland Handball
Tunisia,Tunisia Handball
USA,USA Handball
Austria W,Austria Handball Women
Belarus W,Belarus Handball Women
Bosnia & Herzegovina W,Bosnia & Herzegovina Handball Women
Croatia W,Croatia Handball Women
Cyprus W,Cyprus Handball Women
Czech Republic W,Czech Republic Handball Women
Denmark W,Denmark Handball Women
Faroe Islands W,Faroe Islands Handball Women
Finland W,Finland Handball Women
France W,France Handball Women
Germany W,Germany Handball Women
Greece W,Greece Handball Women
Hungary W,Hungary Handball Women
Iceland W,Iceland Handball Women
Israel W,Israel Handball Women
Italy W,Italy Handball Women
Kosovo W,Kosovo Handball Women
Latvia W,Latvia Handball Women
Lithuania W,Lithuania Handball Women
Luxembourg W,Luxembourg Handball Women
Netherlands W,Netherlands Handball Women
Poland W,Poland Handball Women
Portugal W,Portugal Handball Women
Romania W,Romania Handball Women
Russia W,Russia Handball Women
Serbia W,Serbia Handball Women
Slovakia W,Slovakia Handball Women
Spain W,Spain Handball Women
Sweden W,Sweden Handball Women
Switzerland W,Switzerland Handball Women
Turkey W,Turkey Handball Women
Ukraine W,Ukraine Handball Women
Brazil W,Brazil Handball Women
Angola W,Angola Handball Women
South Korea W,South Korea Handball Women
Slovenia W,Slovenia Handball Women
Norway W,Norway Handball Women
Azoty-Pulawy,KS Azoty-Puławy
Chrobry Glogow,SPR Chrobry Głogów
Gwardia Opole,Gwardia Opole
Kalisz,MKS Kalisz
Kwidzyn,MMTS Kwidzyn
Piotrkowianin Piotrkow,Piotrkowianin Piotrkow
Stal Mielec,SPR Stal Mielec
Szczecin,Szczecin
Tarnow,SPR Tarnów
Vive Kielce,Vive Kielce
Wisla Plock,Wisła Płock
Wybrzeze Gdansk,Wybrzeże Gdańsk
Zabrze,NMC Górnik Zabrze
Zaglebie,Zagłębie Lubin
Chartres,C Chartres Métropole Handball
Cesson Rennes-Metropole,Cesson Rennes MHB
Chambery Savoie,Chambéry Savoie Handball
Dunkerque,Dunkerque Handball Grand Littoral
Toulouse,Fenix Toulouse Handball
Nancy,Grand Nancy Métropole HB
Nantes,HBC Nantes
Istres,Istres Provence Handball
Limoges,Limoges Handball
Montpellier,Montpellier Handball
Paris SG,Paris Saint-Germain Handball
Aix,PAUC Handball
St. Raphael,Saint-Raphaël Var Handball
Saran,Saran Loiret HB
Creteil,US Créteil Handball
Nimes,USAM Nîmes Gard
Anaitasuna,Anaitasuna
Nava,Balonmano Nava
BM Sinfin,Balonmano Sinfín
Atletico Valladolid,BM Atlético Valladolid
Benidorm,BM Benidorm
Cuenca,BM Ciudad Encantada
Granollers,BM Granollers
Huesca,BM Huesca
Antequera,BM Iberoquinoa Antequera
Puente Genil,BM Puente Genil
Torrelavega,BM Torrelavega
Ademar,CB Ademar León
Morrazo Cangas,CB Cangas
La Rioja,CB Ciudad de Logroño
CD Bidasoa Irun,CD Bidasoa
Barcelona,FC Barcelona Handbol
Balatonfuredi,Balatonfüredi KSE
Budakalasz,Budakalász KC
Csurgoi,Csurgói KK
Dabas,Dabas
Eger,Eger
Ferencvaros,Ferencvárosi TC
Gyongyosi,Gyöngyösi KK
Kecskemeti TE,Kecskemét SE
Komloi,Komlói Bányász SK
NEKA,NEKA
Szeged,SC Pick Szeged
Tatabanya,Tatabánya KC
Veszprem,Veszprém KC
Veszpremi KSE,Veszprém KKFT Felsőörs
Bergischer,Bergischer HC
Fuchse Berlin,Füchse Berlin
Minden,GWD Minden
Hamburg,Handball Sport Verein Hamburg
HBW Balingen-Weilstetten,HBW Balingen-Weilstetten
Erlangen,HC Erlangen
HSG Wetzlar,HSG Wetzlar
MT Melsungen,MT Melsungen
Rhein-Neckar,Rhein-Neckar Löwen
Leipzig,SC DHfK Leipzig
SC Magdeburg,SC Magdeburg
SG Flensburg-Handewitt,SG Flensburg-Handewitt
Lemgo,TBV Lemgo
Kiel,THW Kiel
Goppingen,TPSG Frisch Auf Göppingen
Hannover-Burgdorf,TSV Hannover-Burgdorf
N-Lubbecke,TuS Nettelstedt-Lübbecke
Stuttgart,TVB 1898 Stuttgart
Eisenach,ThSV Eisenach
Gummersbach,VfL Gummersbach
Aalborg,Aalborg Håndbold
Bjerringbro/Silkeborg,Bjerringbro-Silkeborg Håndbold
Fredericia,Fredericia HK
GOG,GOG Håndbold
Kolding,KIF Kolding
Lemvig,Lemvig-Thyborøn Håndbold
Mors,Mors-Thy Håndbold
Nordsjaelland,Nordsjælland Håndbold
Ribe-Esbjerg,Ribe-Esbjerg HH
Skanderborg,Skanderborg Aarhus Håndbold
Aarhus,Skanderborg Aarhus Håndbold
Skive,Skive fH
Skjern,Skjern Håndbold
Sonderjyske,SønderjyskE Håndbold
Ringsted,TMS Ringsted
Holstebro,TTH Holstebro
Dinamo Bucuresti,CS Dinamo București
Elverum,Elverum Håndball
Porto,FC Porto Handball
Motor Zaporozhye,HC Motor Zaporizhzhia
Meshkov Brest,Meshkov Brest
PPD Zagreb,RK PPD Zagreb
Vardar,Vardar 1961
AEK Athens,AEK H.C.
Alpla Hard,Alpla HC Hard
Aquas Santas,Associação Atlética de Águas Santas
Arendal,ØIF Arendal
Benfica,S.L. Benfica
Celje,Celje Pivovarna Laško
Chekhovskiye Medvedi,Chekhovskiye Medvedi
Cocks,Riihimäki Cocks
Constanta,HC Dobrogea Sud Constanța
CSKA Moscow,HBC CSKA Moscow
Eurofarm Rabotnik,RK Eurofarm Pelister
Gorenje Velenje,RK Gorenje Velenje
HC Kriens,HC Kriens-Luzern
Kadetten,Kadetten Schaffhausen
Maccabi Le Zion,Maccabi Rishon LeZion Handball
Malmo,HK Malmö
Nexe,RK Nexe Našice
Pfadi Winterthur,Pfadi Winterthur
Porec,RK Poreč
Presov,HT Tatran Prešov
Savehof,IK Sävehof
Sesvete,MRK Sesvete
Spor Toto,Spor Toto SK
Sporting,Sporting CP Handball
Tinex Prolet Skopje,RK Tineks Prolet
Trimo Trebnje,RK Trimo Trebnje
Valur,Valur Handball
Vojvodina,RK Vojvodina
Ystads IF,Ystads IF
Turda,AHC Potaissa Turda
Butel Skopje,Butel Skopje
Minaur Baia Mare,CS Minaur Baia Mare
Steaua Bucuresti,CSA Steaua București Handball
Drammen,Drammen HK
Zurich,GC Amicitia Zürich
Kristianstad,IFK Kristianstad
Kolstad,Kolstad Håndball
Belenenses,Os Belenenses
