STG,TSDB
NHL,NHL
AHL,American AHL
KHL,Russian KHL
SHL,Swedish Hockey League
HockeyAllsvenskan,Swedish Hockey Allsvenskan
Liiga,Finnish Liiga
Extraliga,Czech Extraliga
Tipsport Liga,Slovak Extraliga
Get-ligaen,Norwegian Fjordkraft-ligaen
Olympic Games 2022,Olympics Ice Hockey
ICE Hockey League,Austrian ICE Hockey League
Metal Ligaen,Danish Metal Ligaen
Ligue Magnus,French Ligue Magnus
DEL,German DEL
Erste Liga,Hungarian Erste Liga
Optibet Hokeja Liga,Latvian Optibet Hockey League
Polska Hokej Liga,Polish Hockey League
NLA,Swiss National League
Elite League,UK Elite Ice Hockey League
IIHF World Championship,Mens Ice Hockey World Championships
IIHF Division 1A,Mens Ice Hockey World Championships Division IA
IIHF Division 1B,Mens Ice Hockey World Championships Division IB
IIHF Division 2A,Mens Ice Hockey World Championships Division IIA
IIHF Division 2B,Mens Ice Hockey World Championships Division IIB
Champions Hockey League,Champions Hockey League
VHL,Russian VHL
NHL 4 Nations Face-Off,NHL 4 Nations
