date,time,sport,channel,comp,ht,at
2025-06-20,10:00AM,Netball,FOX Sports 505,Australian Super Netball League,West Coast Fever,Adelaide Thunderbirds
2025-06-20,10:00AM,Netball,Kayo Sports,Australian Super Netball League,West Coast Fever,Adelaide Thunderbirds
2025-06-20,10:00AM,Netball,Netball Australia TV,Australian Super Netball League,West Coast Fever,Adelaide Thunderbirds
2025-06-21,7:00AM,Netball,FOX Sports 505,Australian Super Netball League,Sunshine Coast Lightning,Melbourne Vixens
2025-06-21,7:00AM,Netball,Kayo Sports,Australian Super Netball League,Sunshine Coast Lightning,Melbourne Vixens
2025-06-21,7:00AM,Netball,Netball Australia TV,Australian Super Netball League,Sunshine Coast Lightning,Melbourne Vixens
2025-06-22,4:00AM,Netball,FOX Sports 505,Australian Super Netball League,New South Wales Swifts,Giants Netball
2025-06-22,4:00AM,Netball,Kayo Sports,Australian Super Netball League,New South Wales Swifts,Giants Netball
2025-06-22,4:00AM,Netball,Netball Australia TV,Australian Super Netball League,New South Wales Swifts,Giants Netball
2025-06-28,7:00AM,Netball,Netball Australia TV,Australian Super Netball League,Sunshine Coast Lightning,West Coast Fever
2025-06-29,4:00AM,Netball,Netball Australia TV,Australian Super Netball League,Melbourne Vixens,Adelaide Thunderbirds
2025-06-29,6:00AM,Netball,Netball Australia TV,Australian Super Netball League,Queensland Firebirds,Giants Netball
2025-07-05,7:00AM,Netball,Netball Australia TV,Australian Super Netball League,New South Wales Swifts,Sunshine Coast Lightning
2025-07-06,4:00AM,Netball,Netball Australia TV,Australian Super Netball League,Melbourne Vixens,Queensland Firebirds
2025-07-06,6:00AM,Netball,Netball Australia TV,Australian Super Netball League,West Coast Fever,Giants Netball
2025-07-12,9:00AM,Netball,Netball Australia TV,Australian Super Netball League,Adelaide Thunderbirds,Sunshine Coast Lightning
2025-07-13,4:00AM,Netball,Netball Australia TV,Australian Super Netball League,Queensland Firebirds,New South Wales Swifts
2025-07-13,6:00AM,Netball,Netball Australia TV,Australian Super Netball League,West Coast Fever,Melbourne Vixens
