STG,TSDB
Nottingham Forest,Nottingham Forest
Birmingham Panthers,Birmingham Panthers
Celtic Dragons,Cardiff Dragons
Celtic W,Cardiff Dragons
Leeds Rhinos,Leeds Rhinos
Leeds W,Leeds Rhinos
London Pulse,London Pulse
London W,London Pulse
Loughborough Lightning,Loughborough Lightning
Loughborough W,Loughborough Lightning
Manchester Thunder,Manchester Thunder
Manchester W,Manchester Thunder
Saracens Mavericks,London Mavericks
Saracens W,London Mavericks
Severn Stars,Severn Stars
Severn Stars W,Severn Stars
Sirens,Sirens Netball
Strathclyde W,Sirens Netball
Surrey Storm,Surrey Storm
Surrey W,Surrey Storm
Bath W,Team Bath
Team Bath,Team Bath
Wasps Netball,Wasps Netball
Wasps W,Wasps Netball
Adelaide Thunderbirds W,Adelaide Thunderbirds
Collingwood Magpies W,Collingwood Magpies
GWS Giants W,Giants Netball
Melbourne Vixens W,Melbourne Vixens
New South Wales Swifts W,New South Wales Swifts
Queensland Firebirds W,Queensland Firebirds
Sunshine Coast Lightning W,Sunshine Coast Lightning
West Coast Fever W,West Coast Fever
