date,time,sport,channel,comp,ht,at
2025-06-13,10:00AM,Rugby League,FOX League,Australian National Rugby League,Gold Coast Titans,Manly Sea Eagles
2025-06-13,9:58AM,Rugby League,Fox Soccer Plus,Australian National Rugby League,Gold Coast Titans,Manly Sea Eagles
2025-06-13,10:00AM,Rugby League,Kayo Sports,Australian National Rugby League,Gold Coast Titans,Manly Sea Eagles
2025-06-13,9:00AM,Rugby League,Sky Sport 3 NZ,Australian National Rugby League,Gold Coast Titans,Manly Sea Eagles
2025-06-13,9:57AM,Rugby League,BeIn Sports Max 5,Australian National Rugby League,Gold Coast Titans,Manly Sea Eagles
2025-06-13,7:00PM,Rugby League,Sky Sports+,English Rugby League Super League,Hull F.C.,Castleford Tigers
2025-06-13,7:00PM,Rugby League,Sky Sports+,English Rugby League Super League,Hull Kingston Rovers,Catalans Dragons
2025-06-13,7:00PM,Rugby League,FOX League,English Rugby League Super League,Hull Kingston Rovers,Catalans Dragons
2025-06-13,6:59PM,Rugby League,Fox Soccer Plus,English Rugby League Super League,Hull Kingston Rovers,Catalans Dragons
2025-06-13,7:00PM,Rugby League,Sportsnet World,English Rugby League Super League,Hull Kingston Rovers,Catalans Dragons
2025-06-14,7:30AM,Rugby League,Sky Sports+,Australian National Rugby League,Newcastle Knights,Sydney Roosters
2025-06-14,7:30AM,Rugby League,FOX League,Australian National Rugby League,Newcastle Knights,Sydney Roosters
2025-06-14,7:30AM,Rugby League,Kayo Sports,Australian National Rugby League,Newcastle Knights,Sydney Roosters
2025-06-14,7:00AM,Rugby League,Sky Sport 3 NZ,Australian National Rugby League,Newcastle Knights,Sydney Roosters
2025-06-14,9:35AM,Rugby League,Sky Sports+,Australian National Rugby League,North Queensland Cowboys,Dolphins
2025-06-14,9:35AM,Rugby League,FOX League,Australian National Rugby League,North Queensland Cowboys,Dolphins
2025-06-14,9:35AM,Rugby League,Kayo Sports,Australian National Rugby League,North Queensland Cowboys,Dolphins
2025-06-14,9:30AM,Rugby League,Sky Sport 3 NZ,Australian National Rugby League,North Queensland Cowboys,Dolphins
2025-06-14,9:30AM,Rugby League,BeIn Sports HD 2 France,Australian National Rugby League,North Queensland Cowboys,Dolphins
2025-06-14,2:00PM,Rugby League,Sky Sports+,English Rugby League Super League,Huddersfield Giants,Wigan Warriors
2025-06-14,2:00PM,Rugby League,FOX League,English Rugby League Super League,Huddersfield Giants,Wigan Warriors
2025-06-14,1:55PM,Rugby League,Fox Soccer Plus,English Rugby League Super League,Huddersfield Giants,Wigan Warriors
2025-06-14,4:30PM,Rugby League,Sky Sports+,English Rugby League Super League,Leeds Rhinos,Warrington Wolves
2025-06-14,4:30PM,Rugby League,FOX League,English Rugby League Super League,Leeds Rhinos,Warrington Wolves
2025-06-14,4:29PM,Rugby League,Fox Soccer Plus,English Rugby League Super League,Leeds Rhinos,Warrington Wolves
2025-06-15,6:05AM,Rugby League,FOX League,Australian National Rugby League,South Sydney Rabbitohs,Canterbury Bankstown Bulldogs
2025-06-15,6:03AM,Rugby League,Fox Soccer Plus,Australian National Rugby League,South Sydney Rabbitohs,Canterbury Bankstown Bulldogs
2025-06-15,6:05AM,Rugby League,Kayo Sports,Australian National Rugby League,South Sydney Rabbitohs,Canterbury Bankstown Bulldogs
2025-06-15,5:00AM,Rugby League,Sky Sport 2 NZ,Australian National Rugby League,South Sydney Rabbitohs,Canterbury Bankstown Bulldogs
2025-06-15,6:00AM,Rugby League,BeIn Sports HD 1 France,Australian National Rugby League,South Sydney Rabbitohs,Canterbury Bankstown Bulldogs
2025-06-15,2:00PM,Rugby League,FOX League,English Rugby League Super League,Salford Red Devils,St Helens
2025-06-15,1:25PM,Rugby League,Fox Soccer Plus,English Rugby League Super League,Wakefield Trinity Wildcats,Leigh Leopards
2025-06-15,1:30PM,Rugby League,Sportsnet World,English Rugby League Super League,Wakefield Trinity Wildcats,Leigh Leopards
