STG,TSDB
Castleford Tigers,Castleford Tigers
Catalans Dragons,Catalans Dragons
Huddersfield,Huddersfield Giants
Hull FC,Hull F.C.
Hull KR,Hull Kingston Rovers
Leeds Rhinos,Leeds Rhinos
Salford Red Devils,Salford Red Devils
St Helens,St Helens
Toulouse,Toulouse Olympique
Wakefield Trinity,Wakefield Trinity Wildcats
Warrington Wolves,Warrington Wolves
Wigan Warriors,Wigan Warriors
Barrow,Barrow Raiders
Batley,Batley Bulldogs
Bradford Bulls,Bradford Bulls
Dewsbury Rams,Dewsbury Rams
Featherstone Rovers,Featherstone Rovers
Halifax,Halifax R.L.F.C.
Leigh Centurions,Leigh Leopards
London Broncos,London Broncos
Newcastle,Newcastle Thunder
Sheffield,Sheffield Eagles
Whitehaven,Whitehaven
Widnes Vikings,Widnes Vikings
Workington Town,Workington Town
York City,York City Knights
Brisbane Broncos,Brisbane Broncos
Canberra Raiders,Canberra Raiders
Canterbury Bulldogs,Canterbury Bankstown Bulldogs
Cronulla Sharks,Cronulla Sharks
Gold Coast Titans,Gold Coast Titans
Manly Sea Eagles,Manly Sea Eagles
Melbourne Storm,Melbourne Storm
New Zealand Warriors,New Zealand Warriors
Newcastle Knights,Newcastle Knights
NQ Cowboys,North Queensland Cowboys
Parramatta Eels,Parramatta Eels
Penrith Panthers,Penrith Panthers
South Sydney Rabbitohs,South Sydney Rabbitohs
St.George Illawarra,St. George Illawara Dragons
Sydney Roosters,Sydney Roosters
Wests Tigers,Wests Tigers
Redcliffe,Dolphins
Queensland,Queensland Maroons
New South Wales,New South Wales Blues
