STG,TSDB
Aviva Premiership Rugby,English Premiership Rugby
Top 14,French Top 14
Pro D2,French Pro D2
Currie Cup,Currie Cup
Super Rugby,Super Rugby
Super Rugby Pacific Quarter Final,Super Rugby
Super Rugby Pacific,Super Rugby
United Rugby Championship,United Rugby Championship
Greene King IPA Championship,English RFU Championship
Six Nations,Six Nations Championship
Rugby World Cup,Rugby World Cup
European Rugby Champions Cup,European Rugby Champions Cup
Rugby Europe Championship,Rugby Europe Championship
Major League Rugby,Major League Rugby
Bunnings NPC,National Provincial Championship
Rugby Championship,Rugby Championship
Shute Shield,Australian Shute Shield
Challenge Cup,European Rugby Challenge Cup
Friendly International,Rugby Union International Friendlies
Club Friendly,Rugby Union Club Friendlies
Olympic Games 2024,Olympics 7s Rugby
Scottish Premiership 1,Scottish Premiership
Six Nations Women,Six Nations Women
Lions Tour,British and Irish Lions Tours
