date,time,sport,channel,comp,ht,at
2025-06-13,7:00PM,Rugby Union,Movistar Deportes 2,French Top 14,Aviron Bayonnais,ASM Clermont Auvergne
2025-06-13,7:00PM,Rugby Union,Premier Sports 1 IE,French Top 14,Aviron Bayonnais,ASM Clermont Auvergne
2025-06-13,7:00PM,Rugby Union,Viaplay Sports 1 UK,French Top 14,Aviron Bayonnais,ASM Clermont Auvergne
2025-06-13,6:57PM,Rugby Union,Bein Sports 3 Australia,French Top 14,Aviron Bayonnais,ASM Clermont Auvergne
2025-06-13,7:05PM,Rugby Union,Canal + France,French Top 14,Aviron Bayonnais,ASM Clermont Auvergne
2025-06-13,7:00AM,Rugby Union,Movistar Deportes,Super Rugby,Crusaders Super Rugby,Blues Super Rugby
2025-06-13,7:05AM,Rugby Union,Sky Sport Action,Super Rugby,Crusaders Super Rugby,Blues Super Rugby
2025-06-13,7:05AM,Rugby Union,Sky Sports Action,Super Rugby,Crusaders Super Rugby,Blues Super Rugby
2025-06-13,6:00AM,Rugby Union,Stan Sport AU,Super Rugby,Crusaders Super Rugby,Blues Super Rugby
2025-06-13,7:00AM,Rugby Union,SuperSport Grandstand,Super Rugby,Crusaders Super Rugby,Blues Super Rugby
2025-06-13,7:00AM,Rugby Union,SuperSport Rugby,Super Rugby,Crusaders Super Rugby,Blues Super Rugby
2025-06-13,7:00AM,Rugby Union,Canal + Sport France,Super Rugby,Crusaders Super Rugby,Blues Super Rugby
2025-06-14,2:00PM,Rugby Union,ITVX,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,2:00PM,Rugby Union,ITV,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,1:50PM,Rugby Union,Movistar Deportes,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,1:55PM,Rugby Union,Nova Sport 1 CZ,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,2:00PM,Rugby Union,Sportsnet World,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,1:55PM,Rugby Union,Stan Sport AU,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,1:30PM,Rugby Union,UTV NI,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,2:00PM,Rugby Union,BeIn Sports HD 1 France,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,12:30PM,Rugby Union,TNT Sports 1,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,12:30PM,Rugby Union,TNT Sports Ultimate,English Premiership Rugby,Bath Rugby,Leicester Tigers
2025-06-14,7:00PM,Rugby Union,Movistar Deportes 2,French Top 14,RC Toulonnais,Castres Olympique
2025-06-14,7:00PM,Rugby Union,Premier Sports 1 IE,French Top 14,RC Toulonnais,Castres Olympique
2025-06-14,7:00PM,Rugby Union,Viaplay Sports 1 UK,French Top 14,RC Toulonnais,Castres Olympique
2025-06-14,7:05PM,Rugby Union,Canal + France,French Top 14,RC Toulonnais,Castres Olympique
2025-06-14,7:00AM,Rugby Union,Movistar Deportes,Super Rugby,Chiefs Super Rugby,Brumbies
2025-06-14,7:05AM,Rugby Union,Sky Sport Arena,Super Rugby,Chiefs Super Rugby,Brumbies
2025-06-14,6:30AM,Rugby Union,Stan Sport AU,Super Rugby,Chiefs Super Rugby,Brumbies
2025-06-14,7:00AM,Rugby Union,SuperSport Rugby,Super Rugby,Chiefs Super Rugby,Brumbies
2025-06-14,4:00PM,Rugby Union,Sky Sport Arena,United Rugby Championship,Leinster,Blue Bulls
2025-06-14,4:00PM,Rugby Union,Sky Sport Arena,United Rugby Championship,Leinster,Bulls Super Rugby
2025-06-14,3:55PM,Rugby Union,SuperSport Rugby,United Rugby Championship,Leinster,Blue Bulls
2025-06-14,3:55PM,Rugby Union,SuperSport Rugby,United Rugby Championship,Leinster,Bulls Super Rugby
2025-06-14,4:00PM,Rugby Union,Premier Sports 1 IE,United Rugby Championship,Leinster,Blue Bulls
2025-06-14,4:00PM,Rugby Union,Premier Sports 1 IE,United Rugby Championship,Leinster,Bulls Super Rugby
2025-06-14,4:00PM,Rugby Union,Viaplay Sports 1 UK,United Rugby Championship,Leinster,Blue Bulls
2025-06-14,4:00PM,Rugby Union,Viaplay Sports 1 UK,United Rugby Championship,Leinster,Bulls Super Rugby
2025-06-20,6:30PM,Rugby Union,Sky Sport 1 NZ,British and Irish Lions Tours,British and Irish Lions,Argentina Rugby
2025-06-20,7:00PM,Rugby Union,Sky Sports Action,British and Irish Lions Tours,British and Irish Lions,Argentina Rugby
2025-06-20,6:50PM,Rugby Union,Stan Sport AU,British and Irish Lions Tours,British and Irish Lions,Argentina Rugby
2025-06-20,6:50PM,Rugby Union,SuperSport Rugby,British and Irish Lions Tours,British and Irish Lions,Argentina Rugby
