STG,TSDB
Bath,Bath Rugby
Bristol,Bristol Bears
Exeter Chiefs,Exeter Chiefs
Gloucester,Gloucester
Harlequins F.C.,Harlequins
Leicester Tigers,Leicester Tigers
London Irish,London Irish
Newcastle Falcons,Newcastle Falcons
Northampton Saints,Northampton Saints
Sale Sharks,Sale Sharks
Saracens,Saracens
Wasps,Wasps
Worcester Warriors,Worcester Warriors
Ampthill,Ampthill RUFC
Bedford Blues,Bedford Blues
Cornish Pirates,Cornish Pirates
Coventry R.F.C,Coventry R.F.C.
Doncaster,Doncaster Knights
Ealing,Ealing Trailfinders
Hartpury University,Hartpury University R.F.C.
Jersey,Jersey Reds
London Scottish,London Scottish
Nottingham,Nottingham R.F.C.
Richmond,Richmond F.C.
Aviron Bayonnais,Aviron Bayonnais
Biarritz Olympique,Biarritz Olympique
Bordeaux Begles,Union Bordeaux Bègles
Brive,CA Brive
Castres Olympique,Castres Olympique
Clermont,ASM Clermont Auvergne
La Rochelle,Stade Rochelais
Lyon,Lyon OU
Montpellier Herault RC,Montpellier Hérault Rugby
Racing 92,Racing Métro 92
Section Paloise,Section Paloise
Stade Francais,Stade Français Paris
Stade Toulousain,Stade Toulousain
Toulon,RC Toulonnais
Usap Perpignan,USA Perpignan
Blues,Blues Super Rugby
Brumbies,Brumbies
Chiefs,Chiefs Super Rugby
Crusaders,Crusaders Super Rugby
Fijian Drua,Fijian Drua
Rebels,Melbourne Rebels
Moana Pasifika,Moana Pasifika
Waratahs,New South Wales Waratahs
Highlanders,Otago Highlanders
Reds,Queensland Reds
Hurricanes,Wellington Hurricanes
Force,Western Force
Bulls,Blue Bulls
Cheetahs,Cheetahs
Lions,Golden Lions
Griquas,Griquas
Griffons,Griffons
Pumas,MRU. New Nation Pumas
Sharks,Sharks Currie Cup
Western Province,Western Province
Bulls,Bulls Super Rugby
Cardiff Rugby,Cardiff Rugby
Cardiff Blues,Cardiff Rugby
Connacht,Connacht
Dragons,Dragons
Edinburgh,Edinburgh
Glasgow,Glasgow
Leinster,Leinster
Lions,Lions Super Rugby
Munster,Munster
Ospreys,Ospreys
Scarlets,Scarlets
Sharks,The Sharks
Stormers,Stormers
Treviso,Benetton
Ulster,Ulster
Zebre,Zebre
Auckland,Auckland
Bay of Plenty,Bay of Plenty
Canterbury,Canterbury
Counties Manukau,Counties Manukau
Hawke's Bay,Hawkes Bay
Manawatu,Manawatu
North Harbour,North Harbour
Northland,Northland
Otago,Otago
Southland,Southland
Taranaki,Taranaki
Tasman,Tasman
Waikato,Waikato
Wellington,Wellington
Austin Gilgronis,Austin Gilgronis
Chicago Hounds,Chicago Hounds
Dallas Jackals,Dallas Jackals
Houston SaberCats,Houston SaberCats
LA Giltinis,LA Giltinis
New England Free Jacks,New England Free Jacks
New York,Rugby United New York
NOLA Gold,New Orleans Gold
Old Glory DC,Old Glory DC
Rugby ATL,Rugby ATL
San Diego Legion,San Diego Legion
Seattle Seawolves,Seattle Seawolves
Toronto,Toronto Arrows
Utah Warriors,Utah Warriors
Eastern Suburbs,Eastern Suburbs
Eastwood,Eastwood
Gordon,Gordon
NHRU Wildfires,Hunter
Manly,Manly
Northern Suburs,Northern Suburbs
Randwick,Randwick
Southern Districts,Southern Districts
Sydney Uni,Sydney University
Warringah,Warringah
West Harbour,West Harbour
Western Sydney,Western Sydney Two Blues
Argentina,Argentina Rugby
Australia,Australia Rugby
Canada,Canada Rugby
England,England Rugby
Fiji,Fiji Rugby
France,France Rugby
Georgia,Georgia Rugby
Ireland,Ireland Rugby
Italy,Italy Rugby
Japan,Japan Rugby
Namibia,Namibia Rugby
Netherlands,Netherlands Rugby
New Zealand,New Zealand Rugby
Portugal,Portugal Rugby
Romania,Romania Rugby
Russia,Russia Rugby
Samoa,Samoa Rugby
Scotland,Scotland Rugby
South Africa,South Africa Rugby
Spain,Spain Rugby
Tonga,Tonga Rugby
Uruguay,Uruguay Rugby
USA,USA Rugby
Wales,Wales Rugby
Chile,Chile Rugby
Aurillac,Aurillac
Beziers,Béziers
