STG,TSDB
ASK N. Novgorod,ASK Nizhny Novgorod
Belgorod,Belogorie
Dinamo-Lo,Dynamo Leningrad
Dinamo Moscow,Dynamo Moscow
Ufa,Dynamo-Ural Ufa
Krasnoyarsk,Enisey Krasnoyarsk
Novyi Urengoy,Fakel Novy Urengoy
Surgut region,Gazprom-Yugra
Kemerovo,Kuzbass Kemerovo
Novosibirsk,Lokomotiv Novosibirsk
MGTU Moscow,MGTU
Orenburg,Neftyanik Orenburg
Novokuybyishevsk,Nova
Nizhievartovsk,Yugra-Samotlor Nizhnevartovsk
Zenit Kazan,Zenit Kazan
Zenit St. Petersburg,Zenit St Petersburg
Afyon Bld. Yuntas,Afyon Belediyespor
Akkus Bld,Akkuş Belediyespor
Alanya Bld,Alanya Belediyespor
Altekma,Altekma
Arkasspor,Arkasspor
Bursa,Bursa BBSK
Cizre Bld,Cizre Belediyesi
Develi,Develi Belediyesi
Fenerbahce,Fenerbahçe Volleyball
Galatasaray,Galatasaray Volleyball
Halkbank,Halkbank Ankara
Istanbul GSK,İstanbul GSK
Solhan Spor,Solhanspor
Sorgun,Sorgun Belediyespor
Spor Toto,Spor Toto
Belediye Plevne,Tokat Belediye Plevnespor
Tursad,Türşad
Kiziltepe,Yeni Kızıltepe Spor Kulubü
Ziraat Bankasi,Ziraat Bankası
AONS Milon,AONS Milon
Athlos Orestiadas,Athlos Orestiadas
Flisvos,Flisvos
Foinikas Syroy,Foinikas Syros
Kifisias,Kifissia AC
OFI,OFI Volleyball
Olympiakos,Olympiacos Volleyball
Panathinaikos,Panathinaikos Volleyball
PAOK,PAOK Volleyball
Polichnnis,Pegasus Polichnnis
ACH Ljubljana,ACH Volley
Aluron Warta,Aluron CMC Warta Zawiercie
BR Volleys,Berlin Recycling Volleys
Chaumont,Chaumont Volley
Maaseik,Greenyard Maaseik
Giesen,Helios Grizzlys Giesen
Tirol Innsbruck,Hypo Tirol Innsbruck
Jastrzebski,Jastrzębski Węgiel
Roeselare,Knack Roeselare
Levski Sofia,Levski Volley
Milano,Powervolley Milano
ONICO Warszawa,Projekt Warsaw
St. Nazaire,Saint-Nazaire VBA
Luneburg,SVG Lüneburg
Ceske Budejovice,VK Jihostroj České Budějovice
Monza,Volley Milano
Perugia,Volley Perugia
Novara W,Asystel Novara Women
Firenze W,Azzurra Volley San Casciano Women
Chieri '76 W,Chieri 76 Volleyball Women
S. Bernardo Cuneo W,Cuneo Granda Volley Women
Conegliano W,Imoco Volley Conegliano Women
Monza W,Pro Victoria Monza Women
Roma W,Roma Volley Club Women
Scandicci W,Savino Del Bene Scandicci Women
Trentino W,Trentino Rosa Volley Women
Busto Arsizio W,UYBA Volley Women
Bergamo W,Volley Bergamo Women
Vallefoglia W,Volley Vallefoglia Women
Casalmaggiore W,Volleyball Casalmaggiore Women
Perugia W,Wealth Planet Perugia Volley Women
Belgium W,Belgium Volleyball Women
Brazil W,Brazil Volleyball Women
Bulgaria W,Bulgaria Volleyball Women
Canada W,Canada Volleyball Women
China W,China Volleyball Women
Dominican Republic W,Dominican Republic Volleyball Women
Germany W,Germany Volleyball Women
Italy W,Italy Volleyball Women
Japan W,Japan Volleyball Women
Netherlands W,Netherlands Volleyball Women
Poland W,Poland Volleyball Women
Serbia W,Serbia Volleyball Women
South Korea W,South Korea Volleyball Women
Thailand W,Thailand Volleyball Women
Turkey W,Turkey Volleyball Women
USA W,USA Volleyball Women
Argentina,Argentina Volleyball
Australia,Australia Volleyball
Brazil,Brazil Volleyball
Bulgaria,Bulgaria Volleyball
Canada,Canada Volleyball
China,China Volleyball
France,France Volleyball
Germany,Germany Volleyball
Iran,Iran Volleyball
Italy,Italy Volleyball
Japan,Japan Volleyball
Netherlands,Netherlands Volleyball
Poland,Poland Volleyball
Serbia,Serbia Volleyball
Slovenia,Slovenia Volleyball
USA,USA Volleyball
Cuba,Cuba Volleyball
Croatia W,Croatia Volleyball Women
Belgium,Belgium Volleyball
Czech Republic,Czech Republic Volleyball
Egypt,Egypt Volleyball
Finland,Finland Volleyball
Mexico,Mexico Volleyball
Qatar,Qatar Volleyball
Tunisia,Tunisia Volleyball
Turkey,Turkey Volleyball
Ukraine,Ukraine Volleyball
Argentina W,Argentina Volleyball Women
Colombia W,Colombia Volleyball Women
Czech Republic W,Czech Republic Volleyball Women
Mexico W,Mexico Volleyball Women
Peru W,Peru Volleyball Women
Puerto Rico W,Puerto Rico Volleyball Women
Ukraine W,Ukraine Volleyball Women
France W,France Volleyball Women
Kenya W,Kenya Volleyball Women
Slovenia W,Slovenia Volleyball Women
