date,time,sport,teams,comp,channel
15 Jun,00:00,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,televen
15 Jun,16:00,Football,Bayern Munich - Auckland City,FIFA Club World Cup 2025,televen
15 Jun,19:00,Football,Atletico GO - Coritiba,Serie B,televen
15 Jun,22:00,Football,Palmeiras - FC Porto,FIFA Club World Cup 2025,televen
16 Jun,02:00,Football,Botafogo RJ - Seattle Sounders,FIFA Club World Cup 2025,televen
16 Jun,19:00,Football,Chelsea - Los Angeles FC,FIFA Club World Cup 2025,televen
16 Jun,22:00,Football,Boca Juniors - Benfica,FIFA Club World Cup 2025,televen
17 Jun,01:00,Football,Flamengo RJ - Esperance Tunis,FIFA Club World Cup 2025,televen
17 Jun,16:00,Football,Fluminense - Dortmund,FIFA Club World Cup 2025,televen
17 Jun,19:00,Football,River Plate - Urawa,FIFA Club World Cup 2025,televen
17 Jun,22:00,Football,Ulsan Hyundai - Mamelodi Sundowns,FIFA Club World Cup 2025,televen
18 Jun,01:00,Football,Monterrey - Inter,FIFA Club World Cup 2025,televen
18 Jun,16:00,Football,Manchester City - Wydad,FIFA Club World Cup 2025,televen
18 Jun,19:00,Football,Real Madrid - Al-Hilal,FIFA Club World Cup 2025,televen
18 Jun,22:00,Football,Pachuca - Salzburg,FIFA Club World Cup 2025,televen
19 Jun,01:00,Football,Al Ain - Juventus,FIFA Club World Cup 2025,televen
19 Jun,16:00,Football,Palmeiras - Al Ahly,FIFA Club World Cup 2025,televen
19 Jun,19:00,Football,Inter Miami CF - FC Porto,FIFA Club World Cup 2025,televen
19 Jun,22:00,Football,Seattle Sounders - Atletico Madrid,FIFA Club World Cup 2025,televen
20 Jun,01:00,Football,Paris Saint Germain - Botafogo RJ,FIFA Club World Cup 2025,televen
14 Jun,2:00PM,Sailing / Boating,3e tour,3e tour,dazn-1-fr
14 Jun,11:30PM,Football,Al Ahly - Inter Miami CF,FIFA Club World Cup 2025,dazn-1-fr
15 Jun,6:10PM,Football,Atletico GO - Coritiba,Serie B,dazn-1-fr
15 Jun,9:45PM,Football,Palmeiras - FC Porto,FIFA Club World Cup 2025,dazn-1-fr
16 Jun,1:45AM,Football,Botafogo RJ - Seattle Sounders,FIFA Club World Cup 2025,dazn-1-fr
16 Jun,6:10PM,Football,Chelsea - Los Angeles FC,FIFA Club World Cup 2025,dazn-1-fr
16 Jun,9:45PM,Football,Boca Juniors - Benfica,FIFA Club World Cup 2025,dazn-1-fr
17 Jun,12:45AM,Football,Flamengo RJ - Esperance Tunis,FIFA Club World Cup 2025,dazn-1-fr
17 Jun,6:10PM,Football,River Plate - Urawa,FIFA Club World Cup 2025,dazn-1-fr
17 Jun,9:45PM,Football,Ulsan Hyundai - Mamelodi Sundowns,FIFA Club World Cup 2025,dazn-1-fr
18 Jun,12:45AM,Football,Monterrey - Inter,FIFA Club World Cup 2025,dazn-1-fr
18 Jun,6:10PM,Football,Real Madrid - Al-Hilal,FIFA Club World Cup 2025,dazn-1-fr
